Scenario,Period,LoadLevel,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9
sc01,y2030,2030-04-04T15:00:00+02:00,0.0,-0.15606651474791478,-0.14320900454579455,-0.13933964574913094,-0.3519849858766304,-0.10719999999999996,-0.16992882967849487,-0.16111820656415787,-0.18116530584215007
sc01,y2030,2030-04-04T19:00:00+02:00,0.0,-0.15150542696343794,-0.1429658061792103,-0.14618826861396372,-0.3574461339289632,-0.10719999999999996,-0.17057828396971986,-0.16253098154286616,-0.18403540082769565
sc01,y2030,2030-04-04T23:00:00+02:00,0.0,-0.17284404452165902,-0.14870667195540932,-0.1325675220376883,-0.3176260827001878,-0.10719999999999996,-0.1614005399117786,-0.15347267112629726,-0.17033344648121473
sc01,y2030,2030-04-05T03:00:00+02:00,0.0,-0.15643228910339935,-0.129960150409415,-0.10613386209435971,-0.2767517641293591,-0.09423253000871212,-0.14248064065183463,-0.1340227377312493,-0.14698331279858268
sc01,y2030,2030-04-05T07:00:00+02:00,0.0,-0.15045814891718523,-0.14355000746589264,-0.15032200992964873,-0.35671580239464795,-0.10719999999999996,-0.16987375390369763,-0.16251487734616243,-0.1846562411802084
sc01,y2030,2030-04-05T11:00:00+02:00,0.0,-0.14599718756017643,-0.14166937414875225,-0.15044650159279738,-0.3671500291402967,-0.10719999999999996,-0.17269998943979492,-0.16477057107632453,-0.1875612911760165
sc01,y2030,2030-04-05T15:00:00+02:00,0.0,-0.15752823208179567,-0.14451433117289847,-0.1420563914003392,-0.34642964732283854,-0.10719999999999996,-0.16808367571455118,-0.1600124938375851,-0.18017232009191142
sc01,y2030,2030-04-05T19:00:00+02:00,0.0,-0.15017788279833644,-0.14387045354856332,-0.15207880267098406,-0.3560144727559835,-0.10719999999999996,-0.16946787342039782,-0.1624236771039962,-0.1848121735373427
sc01,y2030,2030-04-05T23:00:00+02:00,0.0,-0.17006981801374255,-0.14916973727343663,-0.1389375925333427,-0.31916630905084187,-0.10719999999999996,-0.1610407804363141,-0.15402303488552338,-0.17202599174674416
sc01,y2030,2030-04-06T03:00:00+02:00,0.0,-0.15391161285354804,-0.13024557385742175,-0.1123301482493444,-0.2730683915968437,-0.09361590674504972,-0.14019551102201921,-0.13297757022199863,-0.1468756240471525
sc01,y2030,2030-04-06T07:00:00+02:00,0.0,-0.1618336283274504,-0.14795332264486283,-0.14819419158850877,-0.33143745884100806,-0.10719999999999996,-0.16325019705752664,-0.15698764574587742,-0.17725501790741705
sc01,y2030,2030-04-06T11:00:00+02:00,0.0,-0.1586085445069445,-0.1461007858632275,-0.14631170755487855,-0.340509117517378,-0.10719999999999996,-0.16595087223623217,-0.15888064183371986,-0.17938463779406755
sc01,y2030,2030-04-06T15:00:00+02:00,0.0,-0.170998230200738,-0.14892662525924139,-0.13637261071022944,-0.31896186117272873,-0.10719999999999996,-0.16129885713215963,-0.15389113082693262,-0.17145923109842176
sc01,y2030,2030-04-06T19:00:00+02:00,0.0,-0.16855539476840398,-0.14803534307521904,-0.13699524225743676,-0.32424611323243613,-0.10719999999999996,-0.1626617110258659,-0.1550526443331095,-0.17304178258315783
sc01,y2030,2030-04-06T23:00:00+02:00,0.0,-0.15771874272562636,-0.13174725318465286,-0.10922685588202219,-0.27913835881452154,-0.09525510805692461,-0.14362141344891466,-0.13541049728957422,-0.14879434273815884
sc01,y2030,2030-04-07T03:00:00+02:00,0.0,-0.1311251042346946,-0.1064063370620223,-0.08057415186978534,-0.23116522521228466,-0.07803141855492468,-0.11942200477131659,-0.11116071145657758,-0.12080862774651502
sc01,y2030,2030-04-07T07:00:00+02:00,0.0,-0.16201900726203755,-0.13825113739812256,-0.12201442839639776,-0.28779868617889726,-0.09897563882392468,-0.14757806317780853,-0.14050723708073054,-0.1556824267002559
sc01,y2030,2030-04-07T11:00:00+02:00,0.0,-0.16662954989547218,-0.1395500821936957,-0.1164952691872625,-0.29495459372726174,-0.10075874995117462,-0.1517175260408381,-0.14319972806394676,-0.15749580597019164
sc01,y2030,2030-04-07T15:00:00+02:00,0.0,-0.1381843555354081,-0.10880780276411506,-0.07352209820675348,-0.24227655720925267,-0.08092197313379956,-0.1257674472572181,-0.11548479690216329,-0.1239902946731406
sc01,y2030,2030-04-07T19:00:00+02:00,0.0,-0.1441897508772889,-0.11337162898515629,-0.07606581845143023,-0.25267508366142954,-0.08436099994679958,-0.13121121012324455,-0.12039485852420762,-0.12917230465362461
sc01,y2030,2030-04-07T23:00:00+02:00,0.0,-0.1724683676520926,-0.15195539820616255,-0.14597152744761233,-0.3080547662126114,-0.10719999999999996,-0.1571544682430297,-0.15186619974871585,-0.17035820290295978
sc01,y2030,2030-04-08T03:00:00+02:00,0.0,-0.09732843577895434,-0.0692030239558612,-0.0272206628460272,-0.16832252190852648,-0.0541993511264125,-0.08857760772056755,-0.07790076471900398,-0.08033446654088605
sc01,y2030,2030-04-08T07:00:00+02:00,0.0,-0.16993594381806654,-0.15376128264911681,-0.15754088258768317,-0.30506966033018235,-0.10719999999999996,-0.15492637989444025,-0.15161806703173353,-0.17183600891449347
sc01,y2030,2030-04-08T11:00:00+02:00,0.0,-0.12076024666289364,-0.09143543771533946,-0.05214269426814688,-0.2105560507331461,-0.06933807394629965,-0.1098981185309269,-0.0992206824300117,-0.10489895553905226
