InitialNode,,,Node_1,Node_1,Node_2,Node_2,Node_3,Node_3,Node_4,Node_4,Node_4,Node_6,Node_6,Node_7,Node_8
FinalNode,,,Node_4,Node_6,Node_3,Node_6,Node_4,Node_6,Node_5,Node_6,Node_9,Node_7,Node_8,Node_8,Node_9
Circuit,,,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1
sc01,y2030,2030-01-02T19:00:00+01:00,495.870378523759,536.0,10.6540896369576,-78.7311102181973,13.028317707567599,-57.8144516306102,332.641341375,-51.5035372901869,60.9207478965127,115.983633618662,121.08682011732499,-22.616925281337597,77.6798110034873
sc01,y2030,2030-01-02T23:00:00+01:00,495.870378523759,536.0,-56.419607208418206,-146.094104875335,-34.900509138237396,-69.1862663126808,286.00300945000004,-30.076881523111698,60.9026184836327,96.8809157621223,98.42749504424519,-22.287004837877802,58.2653021163674
sc01,y2030,2030-01-03T03:00:00+01:00,495.870378523759,436.807743354995,-81.5694224338458,-144.85322499490698,-67.1129574325005,-55.784105446346096,247.965842675,0.107519310552195,68.5134160807057,78.7593107447643,74.8633405895287,-24.5597903802359,34.8056850442943
sc01,y2030,2030-01-03T07:00:00+01:00,495.870378523759,536.0,-69.5265909698027,-156.726162541421,-47.6349335387568,-69.7208128760459,286.974932675,-22.5187761953113,65.70577298031299,95.67808279656239,95.6978547131248,-23.8948058034376,53.8671156196872
sc01,y2030,2030-01-03T11:00:00+01:00,495.870378523759,536.0,-25.790905429768,-109.136538448961,-21.260099022845097,-59.862239584423,331.988599075,-31.609117799038398,72.67721552495141,111.797368059183,112.931869758366,-26.5312148908171,65.65136742504859
sc01,y2030,2030-01-03T15:00:00+01:00,495.870378523759,536.0,-46.1348194457887,-126.274181527949,-40.180538900884095,-61.1153779624047,330.9665845,-20.723696658750498,78.9263496066245,109.295581288625,108.268967737251,-28.6071622613749,58.9763939433757
sc01,y2030,2030-01-03T19:00:00+01:00,495.870378523759,536.0,-11.4839825903545,-94.55255294338801,-11.323375964940201,-57.293044000414504,342.79462425,-35.8926730222227,73.089995581041,116.08724334132,117.90961194264001,-26.7438500836807,69.741097843959
sc01,y2030,2030-01-03T23:00:00+01:00,495.870378523759,536.0,-91.9052316455999,-174.11510388065702,-70.3941856604612,-70.12412009763861,291.67844464999996,-8.596724035440651,75.3573695737356,94.388017329588,91.5498864391763,-27.1446679454121,46.1753157012644
sc01,y2030,2030-01-04T03:00:00+01:00,495.870378523759,375.71331210749497,-94.3237303765425,-135.13312431471,-93.2591799516751,-42.9268843548684,251.17400355000004,26.0918242036458,84.9895850934375,74.5817092130212,65.4387505660421,-30.0741256119791,19.6662497315627
sc01,y2030,2030-01-04T07:00:00+01:00,495.870378523759,529.5865215799939,-92.93138678695661,-173.321144081797,-72.1961851750728,-69.0817359943848,290.079206275,-6.68868626136843,76.0607358100538,93.4983184141485,90.30356806829711,-27.3680175358518,44.8056001399464
sc01,y2030,2030-01-04T11:00:00+01:00,495.870378523759,536.0,-36.8154593164022,-117.650378587343,-32.542152392207704,-60.0258560666945,334.515294875,-24.6805468048903,77.5318314614407,111.21440619535299,110.923714070707,-28.166966704647,61.8495414385596
sc01,y2030,2030-01-04T15:00:00+01:00,495.870378523759,536.0,-47.541494261478896,-126.971931257258,-42.1371350057132,-60.8772070407657,332.8370867,-19.322195902003102,80.28358659504809,109.60955526165101,108.273414963302,-29.072564188349503,58.3985328549522
sc01,y2030,2030-01-04T19:00:00+01:00,495.870378523759,536.0,2.00240019049003,-83.3755122292287,1.4639929152203701,-56.584874914730406,342.73969312500003,-43.3536517580605,68.5982450720386,117.561987025987,120.877409671974,-25.2462184490131,74.2099604029616
