Scenario,Period,LoadLevel,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9
sc01,y2030,2030-01-07T11:00:00+01:00,0,-0.164708080763237,-0.141057733651665,-0.113583442271268,-0.296574352751268,-0.100584630446499,-0.152366798377714,-0.143318979265191,-0.157272181977014
sc01,y2030,2030-01-07T15:00:00+01:00,0,-0.166934886711552,-0.142318099925466,-0.112835804766543,-0.300299445431543,-0.101682760449499,-0.154406083530056,-0.14492076542376,-0.158728232310595
sc01,y2030,2030-01-07T19:00:00+01:00,0,-0.15518578348812,-0.146805554540084,-0.141181941585509,-0.348335966915509,-0.1072,-0.168709771346201,-0.160393898597002,-0.180524564658054
sc01,y2030,2030-01-07T23:00:00+01:00,0,-0.173432976022142,-0.15133636576362,-0.129177307152433,-0.314915416212433,-0.1072,-0.161077063283115,-0.152771746161859,-0.168910678096781
sc01,y2030,2030-01-08T03:00:00+01:00,0,-0.134736857747012,-0.111191600621022,-0.0778246905648052,-0.241885086119805,-0.0807041790724992,-0.124949417085058,-0.115384243485763,-0.124623927053501
sc01,y2030,2030-01-08T07:00:00+01:00,0,-0.161234196330657,-0.147633667745278,-0.134226048360293,-0.339478325205293,-0.1072,-0.167148500496669,-0.158244577774449,-0.176695553553202
sc01,y2030,2030-01-08T11:00:00+01:00,0,-0.138850931783941,-0.141378913246026,-0.145872415220355,-0.382771131837855,-0.1072,-0.177513459221929,-0.167984642363214,-0.190963313798856
sc01,y2030,2030-01-08T15:00:00+01:00,0,-0.14680551486005,-0.142253313109211,-0.135775765726323,-0.371829530998823,-0.1072,-0.175768863431323,-0.165278161612206,-0.185934163502441
sc01,y2030,2030-01-08T19:00:00+01:00,0,-0.134268829618947,-0.140417677677036,-0.149666804249298,-0.390581757566798,-0.1072,-0.17917632489952,-0.1697998383192,-0.193874297267729
sc01,y2030,2030-01-08T23:00:00+01:00,0,-0.1764775082275,-0.149498923091124,-0.115952366121435,-0.316890645743935,-0.107092152665499,-0.16314098404614,-0.152664424103233,-0.166768091661944
sc01,y2030,2030-01-09T03:00:00+01:00,0,-0.132340243236319,-0.105359395437183,-0.0627344208275267,-0.236296835447527,-0.0777530387109988,-0.122765010720478,-0.111448607630131,-0.1185296534151
sc01,y2030,2030-01-09T07:00:00+01:00,0,-0.164980186358686,-0.147524219694582,-0.127168383139477,-0.336043414766977,-0.1072,-0.167076404468422,-0.157261857067369,-0.174343193838502
sc01,y2030,2030-01-09T11:00:00+01:00,0,-0.147499946870174,-0.142363371561433,-0.135043334255559,-0.370763194243059,-0.1072,-0.175568069144209,-0.165023005727015,-0.185494086780078
sc01,y2030,2030-01-09T15:00:00+01:00,0,-0.155490160295384,-0.14350684120655,-0.126072991703117,-0.358898748748117,-0.1072,-0.173434391523343,-0.162155948478905,-0.180434281077668
sc01,y2030,2030-01-09T19:00:00+01:00,0,-0.13930980919885,-0.140987511421114,-0.143337761139149,-0.383596074574149,-0.1072,-0.178048151309747,-0.168075891842912,-0.190686741810284
sc01,y2030,2030-01-09T23:00:00+01:00,0,-0.154693379329872,-0.1235080575404,-0.0747507605674482,-0.275629441104948,-0.0909492159669998,-0.143223016909817,-0.130243960268362,-0.138705835424838
sc01,y2030,2030-01-10T03:00:00+01:00,0,-0.171988072333864,-0.152831309625636,-0.138318209073286,-0.311452743180786,-0.1072,-0.159015975022868,-0.152337450251447,-0.169773494660998
sc01,y2030,2030-01-10T07:00:00+01:00,0,-0.171769524203882,-0.14830768689167,-0.118714930620208,-0.326582169167708,-0.1072,-0.165533942943281,-0.154931038588802,-0.170049611014474
sc01,y2030,2030-01-10T11:00:00+01:00,0,-0.15305956182358,-0.143136725271641,-0.128703320047694,-0.362581289092694,-0.1072,-0.174115480654404,-0.163040570360674,-0.18197414140003
sc01,y2030,2030-01-10T15:00:00+01:00,0,-0.152420358808653,-0.143331719641769,-0.130686648142601,-0.362586337895102,-0.1072,-0.173874252013765,-0.163109541516276,-0.182370134720173
