,,,LineType,LossesCoeff,X,TTC,FixedCost,FxChargeRate
Kayra_220_kV,Kayra_138_kV,cc1,AC,0,0.116666667,117.6,0,0
Suriray_220_kV,Suriray_138_kV,cc1,AC,0,0.055918889,220.5,0,0
Abancay_220_kV,Abancay_138_kV,cc1,AC,0,0.104670833,117.6,0,0
Carhuaquero_138_kV,Cutervo_138_kV,cc1,AC,0,0.171783239,34.3,0,0
Cutervo_138_kV,Jaen_138_kV,cc1,AC,0,0.241455842,24.5,0,0
Chimbote_138_kV,Huallanca_138_kV,cc1,AC,0,0.211644612,98,0,0
Huallanca_138_kV,KimanAyllu_138_kV,cc1,AC,0,0.016947826,137.2,0,0
SEPANU_138_kV,SEPAEX_138_kV,cc1,AC,0,0.025748099,83.3,0,0
Yuncan_138_kV,Yaupi_138_kV,cc1,AC,0,0.036140216,172.48,0,0
Carhuamayo_138_kV,Caripa_138_kV,cc1,AC,0,0.137229207,134.6912,0,0
Caripa_138_kV,Oroya_138_kV,cc1,AC,0,0.052516019,134.6912,0,0
Caripa_138_kV,Condorcocha_138_kV,cc1,AC,0,0.03078765,114.66,0,0
Carhuamayo_138_kV,Paragsha_138_kV,cc1,AC,0,0.159821193,134.6912,0,0
Paragsha_138_kV,SantaLorenza_138_kV,cc1,AC,0,0.154715396,73.5,0,0
SantaLorenza_138_kV,Amarilis_138_kV,cc1,AC,0,0.092509137,73.5,0,0
PiedraBlanca_138_kV,TingoMaria_138_kV,cc1,AC,0,0.073585079,44.1,0,0
Amarilis_138_kV,PiedraBlanca_138_kV,cc1,AC,0,0.145531409,44.1,0,0
Huanuco_138_kV,Amarilis_138_kV,cc1,AC,0,0.016255325,44.1,0,0
Amarilis_138_kV,HuanucoNueva_138_kV,cc1,AC,0,0.002643142,147,0,0
TingoMaria_138_kV,Aucayacu_138_kV,cc1,AC,0,0.120294371,44.1,0,0
Aucayacu_138_kV,Tocache_138_kV,cc1,AC,0,0.288587889,44.1,0,0
Tocache_138_kV,Bellavista_138_kV,cc1,AC,0,0.392251103,44.1,0,0
Bellavista_138_kV,Picota_138_kV,cc1,AC,0,0.089141987,44.1,0,0
Tarapoto_138_kV,Moyobamba_138_kV,cc1,AC,0,0.25958671,44.1,0,0
Aguaytia_138_kV,CampoVerde_138_kV,cc1,AC,0,0.277128544,78.4,0,0
CampoVerde_138_kV,Pucallpa_138_kV,cc1,AC,0,0.06089603,78.4,0,0
Aguaytia_138_kV,Pucallpa_138_kV,cc1,AC,0,0.338024575,78.4,0,0
Moquegua_138_kV,Botiflaca_138_kV,cc1,AC,0,0.077529931,192.08,0,0
Moquegua_138_kV,MillSite_138_kV,cc1,AC,0,0.108511153,98,0,0
Moquegua_138_kV,Toquepala_138_kV,cc1,AC,0,0.108455104,78.4,0,0
Moquegua_138_kV,SPCC_138_kV,cc1,AC,0,0.148034972,127.4,0,0
Moquegua_138_kV,MoqueguaC_138_kV,cc1,AC,0,0.016068053,112.7,0,0
MillSite_138_kV,Botiflaca_138_kV,cc1,AC,0,0.086139519,58.8,0,0
MillSite_138_kV,Ilo3_138_kV,cc1,AC,0,0.168045374,99.96,0,0
Ilo3_138_kV,IloELS_138_kV,cc1,AC,0,0.065612256,73.5,0,0
IloELS_138_kV,SPCC_138_kV,cc1,AC,0,0.036808759,58.8,0,0
Toquepala_138_kV,Aricota_138_kV,cc1,AC,0,0.092995169,73.5,0,0
Puno_138_kV,Totorani_138_kV,cc1,AC,0,0.027774627,130.34,0,0
Juliaca_138_kV,Puno_138_kV,cc1,AC,0,0.097784604,78.4,0,0
Azangaro_138_kV,Maravilla_138_kV,cc1,AC,0,0.178390832,88.2,0,0
Maravilla_138_kV,Juliaca_138_kV,cc1,AC,0,0.027749685,88.2,0,0
Azangaro_138_kV,Putina_138_kV,cc1,AC,0,0.104967129,130.34,0,0
Putina_138_kV,Ananea_138_kV,cc1,AC,0,0.13025252,130.34,0,0
Azangaro_138_kV,SanGaban_138_kV,cc1,AC,0,0.421002363,117.6,0,0
Azangaro_138_kV,SanRafael_138_kV,cc1,AC,0,0.235978035,117.6,0,0
SanRafael_138_kV,SanGaban_138_kV,cc1,AC,0,0.202123419,117.6,0,0
SanGaban_138_kV,Mazuco_138_kV,cc1,AC,0,0.195336604,109.76,0,0
Mazuco_138_kV,PuertoMaldonado_138_kV,cc1,AC,0,0.44435467,105.84,0,0
Ayaviri_138_kV,Azangaro_138_kV,cc1,AC,0,0.112055871,88.2,0,0
Tintaya_138_kV,Ayaviri_138_kV,cc1,AC,0,0.218033239,88.2,0,0
Tintaya_138_kV,Combapata_138_kV,cc1,AC,0,0.264296576,107.8,0,0
Combapata_138_kV,Quencoro_138_kV,cc1,AC,0,0.2336182,107.8,0,0
Quencoro_138_kV,Dolorespata_138_kV,cc1,AC,0,0.02276771,70.56,0,0
Dolorespata_138_kV,Cachimayo_138_kV,cc1,AC,0,0.035529301,69.58,0,0
Quencoro_138_kV,ParqueInd_138_kV,cc1,AC,0,0.014418715,70.56,0,0
Quencoro_138_kV,Kayra_138_kV,cc1,AC,0,0.009860134,147,0,0
Machupicchu_138_kV,Cachimayo_138_kV,cc1,AC,0,0.214399758,82.32,1.504461552,0.075
Cachimayo_138_kV,Quencoro_138_kV,cc1,AC,0,0.056745652,82.32,0,0
Machupicchu_138_kV,Suriray_138_kV,cc1,AC,0,0.014109168,245,0,0
Cachimayo_138_kV,Abancay_138_kV,cc1,AC,0,0.235676329,88.2,0,0
Abancay_138_kV,Tamburco_138_kV,cc1,AC,0,0.032707729,88.2,0,0
Callalli_138_kV,Tintaya_138_kV,cc1,AC,0,0.242234405,107.8,0,0
Santuario_138_kV,Callalli_138_kV,cc1,AC,0,0.239018904,107.8,0,0
Socabaya_138_kV,Santuario_138_kV,cc1,AC,0,0.057369565,147,0,0
Santuario_138_kV,Socabaya_138_kV,cc1,AC,0,0.057369565,132.3,0,0
Socabaya_138_kV,CerroVerde_138_kV,cc1,AC,0,0.029931947,55.86,0,0
CerroVerde_138_kV,Reparticion_138_kV,cc1,AC,0,0.063745169,88.2,0,0
Reparticion_138_kV,Mollendo_138_kV,cc1,AC,0,0.177377862,88.2,0,0
Oroya_138_kV,Oroya_50_kV,cc1,AC,0,0.133333333,9999,0,0
