InitialNode,FinalNode,cc1,cc2,cc3,cc4
Ica_220_kV,Nazca_220_kV,0,0.0,0.0,0.0
Ilo3_138_kV,IloELS_138_kV,0,0.002335773156839692,0.0023357731568396916,0.04943623433708365
Ilo3_220_kV,Ilo2_220_kV,0,0.0,0.0,0.0
Ilo3_220_kV,Ilo3_138_kV,0,0.0,0.0,0.0
Ilo3_220_kV,TiaMaria_220_kV,0,0.0,0.0,0.0
IloELS_138_kV,SPCC_138_kV,0,0.09973831921481442,0.001539593902705527,0.0015395939027054088
Independencia_220_kV,Aceros_220_kV,0,0.0,0.0,0.0
Independencia_220_kV,Ica_220_kV,0,0.0,0.0,0.0
Independencia_220_kV,Independencia_60_kV,0,0.0,0.0,0.0
Independencia_500_kV,Independencia_220_kV,0,0.0,0.0,0.0
Independencia_500_kV,Poroma_500_kV,0,0.0,0.0,0.0
Independencia_60_kV,PuebloNuevo_60_kV,0,0.0,0.0,0.0
Industriales_220_kV,LosSauces_220_kV,0,0.0,0.0,0.0
Industriales_220_kV,Puente_60_kV,0,0.0,0.0,0.0
Industriales_220_kV,SanJuan_220_kV,0,0.0,0.0,0.0
Industriales_220_kV,SanLuis_220_kV,0,0.0,0.0,0.0
Jaen_500_kV,Piura_500_kV,0,0.0,0.0,0.0
Juliaca_138_kV,Puno_138_kV,0,0.0,0.0,0.0
Juliaca_220_kV,Juliaca_138_kV,0,0.0,0.0,0.0
Juliaca_220_kV,Puno_220_kV,0,0.0,0.0,0.0
Kayra_220_kV,Kayra_138_kV,0,0.0,0.0,0.0
Kayra_220_kV,Onocora_220_kV,0,0.0,0.0,0.0
KimanAyllu_220_kV,KimanAyllu_138_kV,0,0.0,0.0,0.0
LaNinha_220_kV,Chiclayo_220_kV,0,0.0,0.0,0.0
LaNinha_220_kV,Felam_220_kV,0,0.0,0.0,0.0
LaNinha_500_kV,LaNinha_220_kV,0,0.0,0.0,0.0
LaNinha_500_kV,Piura_500_kV,0,0.0,0.0,0.0
LaNinha_500_kV,Veracruz_500_kV,0,0.0,0.0,0.0
LaRamada_220_kV,KimanAyllu_220_kV,0,0.0,0.0,0.0
LasBambas_220_kV,Constancia_220_kV,0,0.0,0.0,0.0
Lomera_220_kV,Huacho_220_kV,0,0.0,0.0,0.0
Lomera_220_kV,Lomera_60_kV,0,0.0,0.0,0.0
LosHeroes_220_kV,Tacna_66_kV,0,0.0,0.0,0.0
Machahuay_69_kV,Huanta_69_kV,0,0.0,0.0,0.0
