,Latitude,Longitude
ChilcaCTM_220_kV,-12.497573,-76.725004
Asia_220_kV,-12.714614,-76.608515
Cantera_220_kV,-13.061613,-76.30299
Desierto_220_kV,-13.286152,-76.206438
Chincha_220_kV,-13.453763,-76.069663
Independencia_220_kV,-13.71686,-75.968599
Aceros_220_kV,-13.785104,-76.164702
Ica_220_kV,-14.055079,-75.6922
Nazca_220_kV,-14.848079,-74.952872
Marcona_220_kV,-15.205127,-75.177445
Poroma_220_kV,-15.046655,-75.053327
Huancavelica_220_kV,-12.784874,-74.95279
Caudalosa_220_kV,-13.201376,-75.196233
Mollepata_220_kV,-13.117427,-74.2206
Planicie_220_kV,-12.088819,-76.843218
Manchay_220_kV,-12.101139,-76.868374
Cajamarquilla_220_kV,-11.969369,-76.88277
Carapongo_220_kV,-11.974486,-76.861434
SanMiguel_220_kV,-11.933455,-76.867037
Callahuanca_220_kV,-11.840316,-76.624174
Matucana_220_kV,-11.885738,-76.45637
Pachachaca_220_kV,-11.63313,-76.064841
Yanango_220_kV,-11.185683,-75.465561
YanangoNueva_220_kV,-11.185683,-75.465561
Oroya_220_kV,-11.532465,-75.917984
Carhuamayo_220_kV,-10.919972,-76.032631
Yuncan_220_kV,-10.721954,-75.644282
Paragsha_220_kV,-10.672844,-76.278298
Francoise_220_kV,-10.994946,-76.361619
Huanuco_220_kV,-9.911803,-76.253033
Chaglla_220_kV,-9.601666,-75.8858
TingoMaria_220_kV,-9.289557,-75.99251
TingoMariaN_220_kV,-9.2899,-75.991736
BeloHorizonte_220_kV,-6.526844,-76.301396
Aguaytia_220_kV,-9.030874,-75.493248
Vizcarra_220_kV,-9.89441,-76.93294
Yungas_220_kV,-9.845959,-76.899392
Antamina_220_kV,-9.562034,-77.043949
Conococha_220_kV,-10.102707,-77.252153
Pomacocha_220_kV,-11.733838,-76.133085
Huanza_220_kV,-11.657609,-76.48427
Orcotuna_220_kV,-11.988608,-75.353918
Huayucachi_220_kV,-12.131385,-75.22443
Colcabamba_220_kV,-12.383379,-74.648241
CAguila_220_kV,-12.240969,-74.701215
Mantaro_220_kV,-12.358459,-74.650845
Cotaruse_220_kV,-14.532926,-73.301385
Socabaya_220_kV,-16.474357,-71.517354
CerroVerde_220_kV,-16.516638,-71.59404
Yarabamba_220_kV,-16.504314,-71.518833
SanLuisCV_220_kV,-16.554661,-71.589265
SanJose_220_kV,-16.675826,-71.807578
Moquegua_220_kV,-17.21535,-70.966832
Montalvo_220_kV,-17.190601,-70.999942
Ilo2_220_kV,-17.776735,-71.185423
Ilo3_220_kV,-17.576775,-71.122248
TiaMaria_220_kV,-17.013358,-71.768909
LosHeroes_220_kV,-17.999738,-70.317073
Puno_220_kV,-15.831359,-70.051566
Juliaca_220_kV,-15.509232,-70.092214
Azangaro_220_kV,-14.915345,-70.204666
San_Gaban_220_kV,-13.64252,-70.461289
Tintaya_220_kV,-14.896926,-71.313805
Onocora_220_kV,-14.190231,-71.330412
Kayra_220_kV,-13.548607,-71.910645
Suriray_220_kV,-13.14261,-72.605453
Abancay_220_kV,-13.544403,-72.837223
Constancia_220_kV,-14.46713,-71.787764
LasBambas_220_kV,-14.088426,-72.336576
Carhuaquero_138_kV,-6.606662,-79.246283
Cutervo_138_kV,-6.401067,-78.81206
Jaen_138_kV,-5.687957,-78.809517
Chimbote_138_kV,-9.058963,-78.584049
Huallanca_138_kV,-8.813016,-77.852598
KimanAyllu_138_kV,-8.774985,-77.87274
SEPANU_138_kV,-10.679812,-77.742233
SEPAEX_138_kV,-10.670949,-77.822452
Yuncan_138_kV,-10.72205,-75.643637
Yaupi_138_kV,-10.742689,-75.536712
Oroya_138_kV,-11.532507,-75.9177
Caripa_138_kV,-11.371446,-75.88957
Condorcocha_138_kV,-11.375511,-75.791583
Carhuamayo_138_kV,-10.930204,-76.057289
Paragsha_138_kV,-10.673114,-76.277095
Huanuco_138_kV,-9.9377,-76.238698
HuanucoNueva_138_kV,-9.9377,-76.238698
Amarilis_138_kV,-9.906703,-76.201558
PiedraBlanca_138_kV,-9.530308,-75.954817
SantaLorenza_138_kV,-10.120133,-76.207047
TingoMaria_138_kV,-9.2899,-75.991736
Aucayacu_138_kV,-8.936166,-76.113696
Tocache_138_kV,-8.184446,-76.509706
Bellavista_138_kV,-7.055698,-76.582539
Tarapoto_138_kV,-6.491447,-76.357344
Picota_138_kV,-6.913502,-76.338878
Moyobamba_138_kV,-6.046899,-76.973635
Aguaytia(neutro)_138_kV,-9.030874,-75.493248
Aguaytia_138_kV,-9.030874,-75.493248
Pucallpa_138_kV,-8.399797,-74.615934
CampoVerde_138_kV,-8.472887,-74.80044
Moquegua_138_kV,-17.21535,-70.966832
MoqueguaC_138_kV,-17.21535,-70.966832
Botiflaca_138_kV,-17.061635,-70.767624
MillSite_138_kV,-17.268721,-70.624933
Toquepala_138_kV,-17.26772,-70.624812
Aricota_138_kV,-17.421093,-70.398453
Ilo3_138_kV,-17.576775,-71.122248
IloELS_138_kV,-17.629065,-71.309914
SPCC_138_kV,-17.501228,-71.358315
Azangaro_138_kV,-14.914002,-70.205446
Maravilla_138_kV,-15.424146,-70.145495
Putina_138_kV,-14.927444,-69.875875
Ananea_138_kV,-14.680078,-69.54107
Juliaca_138_kV,-15.508787,-70.120129
Puno_138_kV,-15.831194,-70.050872
Totorani_138_kV,-15.87891,-69.981985
SanRafael_138_kV,-14.230964,-70.321462
SanGaban_138_kV,-13.64252,-70.461289
Mazuco_138_kV,-13.095619,-70.363081
PuertoMaldonado_138_kV,-12.588898,-69.222113
Ayaviri_138_kV,-14.902848,-70.586509
Tintaya_138_kV,-14.882226,-71.313867
Combapata_138_kV,-14.100433,-71.434678
Quencoro_138_kV,-13.546395,-71.906641
Kayra_138_kV,-13.548607,-71.910645
ParqueInd_138_kV,-13.546395,-71.906641
Dolorespata_138_kV,-13.530097,-71.971483
Suriray_138_kV,-13.14261,-72.605453
Machupicchu_138_kV,-13.175186,-72.560885
Cachimayo_138_kV,-13.474358,-72.071238
Abancay_138_kV,-13.544403,-72.837223
Tamburco_138_kV,-13.620544,-72.87806
Callalli_138_kV,-15.536003,-71.407007
Santuario_138_kV,-16.262419,-71.445241
Socabaya_138_kV,-16.473585,-71.516508
CerroVerde_138_kV,-16.517352,-71.590595
Reparticion_138_kV,-16.531862,-71.792146
Mollendo_138_kV,-17.025363,-71.995857
Guadalupe_60_kV,-7.305634,-79.457796
Callahuanca_60_kV,-11.837782,-76.626179
Huampani_60_kV,-11.972895,-76.775211
nhanha_60_kV,-11.98961,-76.820522
Huachipa_60_kV,-12.00345,-76.918523
SanMiguel_60_kV,-11.933455,-76.867037
Planicie_60_kV,-12.085365,-76.925464
Manchay_60_kV,-12.101139,-76.868374
Moyopampa_60_kV,-11.927746,-76.689553
SantaRosaLDS_60_kV,-12.038899,-77.011398
SantaRosaEDN_60_kV,-12.041095,-77.010659
Mirador_60_kV,-11.905441,-76.985749
Puente_60_kV,-12.055844,-76.968277
Salamanca_60_kV,-12.076533,-76.990563
Balnearios_60_kV,-12.112094,-76.995072
SanJuan_60_kV,-12.177139,-76.973867
Pachacutec_60_kV,-12.207702,-76.9312
Aeropuerto_60_kV,-12.02419,-77.111662
Chavarria_60_kV,-11.997987,-77.06611
Naranjal_60_kV,-11.969988,-77.063116
Oquendo_60_kV,-11.974816,-77.125511
Chillon_60_kV,-11.931223,-77.116908
PuentePiedra_60_kV,-11.868952,-77.068411
Huarangal_60_kV,-11.826732,-77.047868
Zapallal_60_kV,-11.83687,-77.111142
Lomera_60_kV,-11.433208,-77.275148
Mirones_60_kV,-12.043453,-77.065172
Barsi_60_kV,-12.04824,-77.104471
Chilca_60_kV,-12.496063,-76.728122
SanBartolo_60_kV,-12.383694,-76.772476
Praderas_60_kV,-12.298745,-76.843705
Bujama_60_kV,-12.714614,-76.608515
Independencia_60_kV,-13.71686,-75.968599
PuebloNuevo_60_kV,-13.396404,-76.126816
Marcona_60_kV,-15.205127,-75.177445
Nazca_60_kV,-14.848079,-74.952872
Cobriza_69_kV,-12.589139,-74.373222
Machahuay_69_kV,-12.578307,-74.410335
Huanta_69_kV,-12.935911,-74.236913
Mollepata_69_kV,-13.117427,-74.2206
Huayucachi_60_kV,-12.131385,-75.22443
Huancayo_60_kV,-12.048018,-75.186657
PIndustrial_60_kV,-12.046616,-75.231552
Orcotuna_60_kV,-11.967576,-75.305368
Oroya_50_kV,-11.51897,-75.914928
Pzinc_50_kV,-11.528011,-75.896107
OroyaCH_50_kV,-11.51897,-75.914928
Malpaso_50_kV,-11.417632,-76.035493
Carhuamayo_50_kV,-10.919972,-76.032631
Excelsior_50_kV,-10.683238,-76.26843
Paragsha_50_kV,-10.673985,-76.263953
Aguaytia_22.9_kV,-9.030874,-75.493248
Pucallpa_60_kV,-8.385273,-74.548515
Tacna_66_kV,-18.025522,-70.271576
Tomasiri_66_kV,-17.84712,-70.543974
Aricota_66_kV,-17.421093,-70.398453
Pucallpa_220_kV,-8.399797,-74.615934
ColSur_500_kV,-13.91293,-73.263716
Mainique1_500_kV,-12.237059,-72.855877
Inambari_500_kV,-12.955002,-69.978091
Brasil_500_kV,-10.777998,-67.434093
Paquitzapango_500_kV,-11.084629,-74.795896
Tambo40_500_kV,-10.872521,-75.147701
Tambo60_500_kV,-10.512988,-75.530002
Chorrillos_500_kV,-12.186761,-77.029905
Cajamarca_500_kV,-7.057641,-78.603117
Platanal_220_kV,-12.837871,-75.976862
