Period,Scenario,LoadLevel,Anthracite,Gas,Hydro,Nuclear,Onshore_wind,PumpedStorageHydro,Solar_PV,Subbituminous,SynchronousCondenser
2030,sc01,01-06 17:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-06 19:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-06 21:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-06 23:00:00+01:00,0.0,92.83516483516485,92.85636254551844,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-07 01:00:00+01:00,0.0,92.83516483516485,-49.962377454487154,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-07 03:00:00+01:00,0.0,-259.1648351648352,88.06250326551535,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-07 05:00:00+01:00,0.0,-259.1648351648352,49.037622545512846,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-07 07:00:00+01:00,0.0,-259.1648351648352,49.037622545512846,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-07 09:00:00+01:00,0.0,92.83516483516485,49.037622545512846,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-07 11:00:00+01:00,0.0,92.83516483516485,98.53762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-07 13:00:00+01:00,0.0,92.83516483516485,66.87862254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-07 15:00:00+01:00,0.0,92.83516483516485,49.037622545512846,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-07 17:00:00+01:00,0.0,92.83516483516485,129.1989975455124,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-07 19:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-07 21:00:00+01:00,0.0,92.83516483516485,98.53762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-07 23:00:00+01:00,0.0,92.83516483516485,73.47061826551464,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-08 01:00:00+01:00,0.0,92.83516483516485,49.037622545512846,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-08 03:00:00+01:00,0.0,92.83516483516485,-0.4623774544871253,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-08 05:00:00+01:00,0.0,92.83516483516485,-41.26675243447981,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-08 07:00:00+01:00,0.0,92.83516483516485,84.74762254551248,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-08 09:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-08 11:00:00+01:00,0.0,92.83516483516485,108.2088725655133,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-08 13:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-08 15:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-08 17:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-08 19:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-08 21:00:00+01:00,0.0,92.83516483516485,137.6748725655128,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-08 23:00:00+01:00,0.0,92.83516483516485,-0.4623774544871253,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-09 01:00:00+01:00,0.0,92.83516483516485,36.83762254550558,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-09 03:00:00+01:00,0.0,92.83516483516485,49.037622545512846,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-09 05:00:00+01:00,0.0,92.83516483516485,-0.4623774544871253,0.0,0.0,0.0,0.0,0.0,0.0
