Period,Scenario,LoadLevel,Area1
2020,sc01,01-07 01:00:00+01:00,12.48163567
2020,sc01,01-07 02:00:00+01:00,12.12661969
2020,sc01,01-07 03:00:00+01:00,11.91228408
2020,sc01,01-07 04:00:00+01:00,11.79309594
2020,sc01,01-07 05:00:00+01:00,11.97738193
2020,sc01,01-07 06:00:00+01:00,12.33649939
2020,sc01,01-07 07:00:00+01:00,12.81875227
2020,sc01,01-07 08:00:00+01:00,13.47330406
2020,sc01,01-07 09:00:00+01:00,14.12811794
2020,sc01,01-07 10:00:00+01:00,14.49907722
2020,sc01,01-07 11:00:00+01:00,14.59763684
2020,sc01,01-07 12:00:00+01:00,14.42950428
2020,sc01,01-07 13:00:00+01:00,14.29458761
2020,sc01,01-07 14:00:00+01:00,14.37969681
2020,sc01,01-07 15:00:00+01:00,14.98018378
2020,sc01,01-07 16:00:00+01:00,15.88203425
2020,sc01,01-07 17:00:00+01:00,16.30318487
2020,sc01,01-07 18:00:00+01:00,16.16726351
2020,sc01,01-07 19:00:00+01:00,15.83238363
2020,sc01,01-07 20:00:00+01:00,15.39998621
2020,sc01,01-07 21:00:00+01:00,14.83919464
2020,sc01,01-07 22:00:00+01:00,14.03487131
2020,sc01,01-07 23:00:00+01:00,13.2752794
2020,sc01,01-08 00:00:00+01:00,12.95184654
2020,sc01,01-08 01:00:00+01:00,12.66375378
2020,sc01,01-08 02:00:00+01:00,12.50665854
2020,sc01,01-08 03:00:00+01:00,12.71042243
2020,sc01,01-08 04:00:00+01:00,13.6137935
2020,sc01,01-08 05:00:00+01:00,15.28770115
2020,sc01,01-08 06:00:00+01:00,16.83922393
2020,sc01,01-08 07:00:00+01:00,17.85490752
2020,sc01,01-08 08:00:00+01:00,18.21325426
2020,sc01,01-08 09:00:00+01:00,18.45610333
2020,sc01,01-08 10:00:00+01:00,18.44071831
2020,sc01,01-08 11:00:00+01:00,18.29092327
2020,sc01,01-08 12:00:00+01:00,18.23858125
2020,sc01,01-08 13:00:00+01:00,18.10599165
2020,sc01,01-08 14:00:00+01:00,18.1863567
2020,sc01,01-08 15:00:00+01:00,18.60826878
2020,sc01,01-08 16:00:00+01:00,19.09068017
2020,sc01,01-08 17:00:00+01:00,19.1771541
2020,sc01,01-08 18:00:00+01:00,18.54848525
2020,sc01,01-08 19:00:00+01:00,17.82907554
2020,sc01,01-08 20:00:00+01:00,16.93424034
2020,sc01,01-08 21:00:00+01:00,16.06125279
2020,sc01,01-08 22:00:00+01:00,15.07535506
2020,sc01,01-08 23:00:00+01:00,14.18812352
2020,sc01,01-09 00:00:00+01:00,13.76454193
2020,sc01,01-09 01:00:00+01:00,13.42524189
2020,sc01,01-09 02:00:00+01:00,13.25263522
2020,sc01,01-09 03:00:00+01:00,13.3343799
2020,sc01,01-09 04:00:00+01:00,14.08229613
2020,sc01,01-09 05:00:00+01:00,15.57358036
2020,sc01,01-09 06:00:00+01:00,17.08637568
2020,sc01,01-09 07:00:00+01:00,17.97585287
2020,sc01,01-09 08:00:00+01:00,18.24271913
2020,sc01,01-09 09:00:00+01:00,18.41133915
2020,sc01,01-09 10:00:00+01:00,18.29993204
2020,sc01,01-09 11:00:00+01:00,18.08175042
2020,sc01,01-09 12:00:00+01:00,17.98474118
2020,sc01,01-09 13:00:00+01:00,17.86188705
2020,sc01,01-09 14:00:00+01:00,17.94960062
2020,sc01,01-09 15:00:00+01:00,18.34279936
