Scenario,Period,LoadLevel,ES112,ES21,ES300,ES418,ES432,ES511,ES523,ES611,ES612,ES618,ES620
sc2015,y2030,2030-06-24T07:00:00+02:00,68.48162728437826,68.48162728437822,68.48162728437822,68.48162728437826,68.48162728437819,68.48162728437822,68.48162728437822,68.48162728437822,68.48162728437822,68.48162728437818,68.48162728437822
sc2015,y2030,2030-06-24T11:00:00+02:00,66.24999999999997,66.25,66.25000000000001,66.24999999999997,66.25000000000001,66.25,66.25000000000001,66.25000000000001,66.25000000000001,66.25000000000003,66.25000000000001
sc2015,y2030,2030-06-24T15:00:00+02:00,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25
sc2015,y2030,2030-06-24T19:00:00+02:00,67.53591347698416,67.53591347698413,67.53591347698413,67.53591347698416,67.53591347698413,67.53591347698413,67.53591347698413,67.53591347698413,67.53591347698413,67.53591347698413,67.53591347698413
sc2015,y2030,2030-06-24T23:00:00+02:00,68.48162728437815,68.48162728437813,68.48162728437816,68.48162728437815,68.48162728437819,68.48162728437813,68.48162728437816,68.48162728437816,68.48162728437816,68.48162728437816,68.48162728437816
sc2015,y2030,2030-06-25T03:00:00+02:00,68.48162728437822,68.48162728437819,68.48162728437819,68.48162728437822,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819
sc2015,y2030,2030-06-25T07:00:00+02:00,68.48162728437815,68.48162728437818,68.4816272843782,68.48162728437815,68.48162728437819,68.48162728437818,68.4816272843782,68.4816272843782,68.4816272843782,68.4816272843782,68.4816272843782
sc2015,y2030,2030-06-25T11:00:00+02:00,66.24999999999997,66.25,66.25000000000001,66.24999999999997,66.25000000000001,66.25,66.25000000000001,66.25000000000001,66.25000000000001,66.25000000000003,66.25000000000001
sc2015,y2030,2030-06-25T15:00:00+02:00,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25
sc2015,y2030,2030-06-25T19:00:00+02:00,68.48162728437822,68.48162728437819,68.48162728437819,68.48162728437822,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819
sc2015,y2030,2030-06-25T23:00:00+02:00,68.48162728437815,68.48162728437762,68.48162728437727,68.48162728437815,68.48162728437819,68.48162728437762,68.48162728437727,68.48162728437727,68.48162728437727,68.48162728437727,68.48162728437727
sc2015,y2030,2030-06-26T03:00:00+02:00,68.48162728437812,68.48162728437816,68.48162728437818,68.48162728437812,68.48162728437815,68.48162728437816,68.48162728437818,68.48162728437818,68.48162728437818,68.48162728437816,68.48162728437818
sc2015,y2030,2030-06-26T07:00:00+02:00,68.48162728437822,68.48162728437819,68.48162728437819,68.48162728437822,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819
sc2015,y2030,2030-06-26T11:00:00+02:00,68.48162728437812,68.48162728437816,68.48162728437818,68.48162728437812,68.48162728437815,68.48162728437816,68.48162728437818,68.48162728437818,68.48162728437818,68.48162728437816,68.48162728437818
sc2015,y2030,2030-06-26T15:00:00+02:00,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25
sc2015,y2030,2030-06-26T19:00:00+02:00,68.48162728437822,68.48162728437819,68.48162728437819,68.48162728437822,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819
sc2015,y2030,2030-06-26T23:00:00+02:00,68.48162728437815,68.48162728437813,68.48162728437816,68.48162728437815,68.48162728437819,68.48162728437813,68.48162728437816,68.48162728437816,68.48162728437816,68.48162728437816,68.48162728437816
sc2015,y2030,2030-06-27T03:00:00+02:00,68.48162728437822,68.48162728437819,68.48162728437819,68.48162728437822,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819
sc2015,y2030,2030-06-27T07:00:00+02:00,68.48162728437822,68.48162728437819,68.48162728437819,68.48162728437822,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819
sc2015,y2030,2030-06-27T11:00:00+02:00,66.24999999999997,66.25,66.25000000000001,66.24999999999997,66.25000000000001,66.25,66.25000000000001,66.25000000000001,66.25000000000001,66.25000000000003,66.25000000000001
sc2015,y2030,2030-06-27T15:00:00+02:00,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25
sc2015,y2030,2030-06-27T19:00:00+02:00,66.87219131759731,66.87219131759728,66.87219131759728,66.87219131759731,66.87219131759728,66.87219131759728,66.87219131759728,66.87219131759728,66.87219131759728,66.87219131759728,66.87219131759728
sc2015,y2030,2030-06-27T23:00:00+02:00,68.48162728437815,68.48162728437818,68.4816272843782,68.48162728437815,68.48162728437819,68.48162728437818,68.4816272843782,68.4816272843782,68.4816272843782,68.4816272843782,68.4816272843782
sc2015,y2030,2030-06-28T03:00:00+02:00,68.48162728437812,68.48162728437816,68.48162728437818,68.48162728437812,68.48162728437815,68.48162728437816,68.48162728437818,68.48162728437818,68.48162728437818,68.48162728437816,68.48162728437818
sc2015,y2030,2030-06-28T07:00:00+02:00,68.48162728437822,68.48162728437819,68.48162728437819,68.48162728437822,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819
sc2015,y2030,2030-06-28T11:00:00+02:00,62.003044628091565,62.00304462809154,62.00304462809154,62.003044628091565,62.00304462809154,62.00304462809154,62.00304462809153,62.00304462809153,62.00304462809153,62.00304462809154,62.00304462809153
sc2015,y2030,2030-06-28T15:00:00+02:00,48.621955371908484,48.62195537190846,48.621955371908484,48.621955371908484,48.621955371908484,48.62195537190846,48.621955371908484,48.621955371908484,48.621955371908484,48.621955371908484,48.621955371908484
sc2015,y2030,2030-06-28T19:00:00+02:00,66.24999999999997,66.25,66.25000000000001,66.24999999999997,66.25000000000001,66.25,66.25000000000001,66.25000000000001,66.25000000000001,66.25000000000003,66.25000000000001
sc2015,y2030,2030-06-28T23:00:00+02:00,68.48162728437816,68.48162728437818,68.48162728437818,68.48162728437816,68.48162728437819,68.48162728437818,68.48162728437818,68.48162728437818,68.48162728437818,68.4816272843782,68.48162728437818
sc2015,y2030,2030-06-29T03:00:00+02:00,68.48162728437813,68.48162728437815,68.48162728437815,68.48162728437813,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437818,68.48162728437815
sc2015,y2030,2030-06-29T07:00:00+02:00,68.48162728437816,68.48162728437818,68.48162728437818,68.48162728437816,68.48162728437819,68.48162728437818,68.48162728437818,68.48162728437818,68.48162728437818,68.4816272843782,68.48162728437818
sc2015,y2030,2030-06-29T11:00:00+02:00,68.48162728437816,68.48162728437818,68.48162728437818,68.48162728437816,68.48162728437819,68.48162728437818,68.48162728437818,68.48162728437818,68.48162728437818,68.4816272843782,68.48162728437818
sc2015,y2030,2030-06-29T15:00:00+02:00,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25
sc2015,y2030,2030-06-29T19:00:00+02:00,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815
sc2015,y2030,2030-06-29T23:00:00+02:00,68.48162728437815,68.48162728437812,68.5517349878358,68.48162728437815,68.48162728437819,68.48162728437809,68.43532974435885,69.28187199619258,68.98093798606756,68.92934929861755,69.38504937109259
