InitialNode,,,ES112,ES112,ES21,ES21,ES21,ES300,ES300,ES300,ES432,ES432,ES432,ES432,ES432,ES432,ES432,ES511,ES511,ES523,ES523,ES523,ES611,ES611,ES612,ES612,ES618,ES618,ES620,ES620
FinalNode,,,ES418,ES418,ES418,ES418,ES511,ES21,ES418,ES418,ES300,ES300,ES418,ES418,ES618,ES618,ES618,ES300,ES523,ES300,ES300,ES300,ES612,ES620,ES618,ES618,ES300,ES418,ES523,ES523
Circuit,,,ac1,ac2,ac1,cac1,ac1,cac1,ac1,cac1,ac1,cac1,ac1,cac1,ac1,ac2,cac1,ac1,ac1,ac1,ac2,cac1,ac1,ac1,ac1,cac1,ac1,cac1,ac1,cac1
sc2015,y2030,2030-04-09T11:00:00+02:00,203.0840548238114,203.0840548238114,-365.2562823019873,0,-227.35923959801067,0,-70.86247104404936,0,216.69794890243298,0,190.12452226091457,0,347.81951075582595,347.81951075582595,0,98.67938533738541,83.63039687448138,71.96698538358065,71.96698538358065,0,-22.08203726268093,28.19246901268102,-84.69515012384105,-84.69515012384105,-60.25636899353193,0,-251.516891572319,0
sc2015,y2030,2030-04-09T15:00:00+02:00,218.89517062756147,218.89517062756147,-305.26574229116443,0,-264.73805935883365,0,0.24338595527906293,0,25.459572297530652,0,25.5508420307603,0,171.6740237708526,171.6740237708526,0,143.72860238566764,75.19698769037625,155.80379241491303,155.80379241491303,0,83.22843127554958,-9.693907735549455,24.434639462774243,24.434639462774243,-104.25195155774819,0,-204.30776926054943,0
sc2015,y2030,2030-04-09T19:00:00+02:00,221.9176333388114,221.9176333388114,-312.4400744292887,0,-239.6309052957094,0,-102.60225638558784,0,156.6194291068469,0,118.14358296225147,0,327.9762588950739,327.9762588950739,0,139.06459423178464,135.91718988238367,81.66630776253625,81.66630776253625,0,-28.51820761618995,-5.902961174809929,-84.9524846037205,-84.9524846037205,-100.44459999579492,0,-310.6005536910599,0
sc2015,y2030,2030-04-09T23:00:00+02:00,213.7097617375615,213.7097617375614,-356.13218447899055,0,-183.74948907100764,0,-402.0,0,100.58803638578739,0,-50.16196361421266,0,362.48949512017305,362.48949512017305,0,133.65937823970953,181.00927589916083,23.394449694811748,23.394449694811748,0,-57.37116498046496,-32.609113934535415,-136.2143719777333,-136.2143719777333,-177.31170596512297,0,-392.5302296095357,0
sc2015,y2030,2030-04-10T03:00:00+02:00,225.96501800131142,225.96501800131142,-174.47642244943447,0,-243.46414635056374,0,-125.19918516007334,0,-14.160500483089699,0,-61.1101949181172,0,217.97858622560318,217.97858622560318,0,202.67896428420073,207.07622872511357,109.19740942761436,109.19740942761436,0,6.342978707382263,-75.99974014488265,-61.61676767130964,-61.61676767130964,-174.87369306641583,0,-354.62678594488307,0
sc2015,y2030,2030-04-10T07:00:00+02:00,216.7021588313115,216.7021588313115,-253.6017487202048,0,-229.01315912979337,0,-130.09544245072524,0,128.68388710232693,0,79.89809618330501,0,325.7793268579324,325.7793268579324,0,157.98501924836705,176.67939710671732,68.41959754463578,68.41959754463578,0,-43.91307944055522,-31.050884662444656,-109.16672107777813,-109.16672107777813,-124.35366031519374,0,-346.77511730244464,0
sc2015,y2030,2030-04-10T11:00:00+02:00,195.7524703300615,195.7524703300615,-361.0423189010431,0,-224.55165617395528,0,-143.55958302133243,0,2.7955467902529563,0,-51.03929684274683,0,176.52287917624676,176.52287917624676,0,114.00120899157962,60.13549996934275,123.04129930083496,123.04129930083496,0,91.1416124826716,-5.760341987671502,9.295796471335327,9.295796471335327,-128.57535317983792,0,-194.87803232767143,0
sc2015,y2030,2030-04-10T15:00:00+02:00,83.33411098023696,83.33411098023696,-308.77540623112566,0,-242.12017661887276,0,212.51851017130306,0,35.931978240107966,0,115.62641955434671,0,82.40487061527246,82.40487061527246,0,71.65780580926383,-66.19280607111294,191.081622511873,191.081622511873,0,145.95026974264013,27.828145294859887,91.97223712131964,91.97223712131964,-28.36295235181796,0,-47.28179653013992,0
sc2015,y2030,2030-04-10T19:00:00+02:00,193.74782732631147,193.74782732631147,-296.14827793572925,0,-229.38896273926906,0,-41.01654874896943,0,146.75296505793722,0,131.37175927707366,0,294.64200453324287,294.64200453324287,0,121.33395799091662,108.35758920469196,82.44325472982372,82.44325472982372,0,-0.06201922270637761,1.5254524544564552,-74.95648995122866,-74.95648995122866,-84.70277817172361,0,-250.87443727029347,0
sc2015,y2030,2030-04-10T23:00:00+02:00,168.64840189631147,168.64840189631147,-336.8038183341448,0,-196.0268801658534,0,-402.0,0,130.63015100751662,0,-20.11984899248348,0,402.0,402.0,0,153.5951785617583,238.4128705932288,-6.372062718431771,-6.372062718431771,0,-59.90466457740967,-28.90045181509071,-180.77973785370548,-180.77973785370548,-179.19529050741355,0,-384.12091744009103,0
sc2015,y2030,2030-04-11T03:00:00+02:00,167.4079462338115,167.4079462338115,-268.1376742323553,0,-148.67601176764288,0,-402.0,0,-10.065515092768873,0,-160.8155150927689,0,265.9715674052686,265.97156740526884,0,133.45165027935124,183.46703240538363,20.362229081787085,20.362229081787085,0,-6.314920313192696,-63.1540273618077,-126.22106824284707,-126.22106824284707,-206.7816353001597,0,-341.029817986808,0
sc2015,y2030,2030-04-11T07:00:00+02:00,168.7879495563115,168.7879495563115,-217.4355710638874,0,-194.44888366111076,0,-76.3938300764977,0,164.21344558394657,0,135.56575930526006,0,329.9415656805201,329.9415656805201,0,125.59188306821144,155.15182330555544,38.31424959127394,38.31424959127394,0,-43.760549399493534,-19.95808152900641,-139.62074361262222,-139.62074361262222,-94.96144140020662,0,-289.1260619197563,0
sc2015,y2030,2030-04-11T11:00:00+02:00,156.82286739881147,156.82286739881147,-301.8553575736378,0,-208.8390409263604,0,39.90597533203483,0,167.95480106196482,0,182.91954181147784,0,262.081603470777,262.081603470777,0,80.20065954842059,44.66792442259676,83.97680003985641,83.97680003985641,0,35.10166444288282,27.236161622117226,-58.46857527230909,-58.46857527230909,-41.130515893066544,0,-151.02785556788274,0
sc2015,y2030,2030-04-11T15:00:00+02:00,107.54621464631009,107.54621464631009,-244.08810138777733,0,-245.98643928722078,0,154.94388780312985,0,26.360720560851647,0,84.46467848702527,0,112.90821035106136,112.90821035106136,0,114.19065093286451,26.238651902292354,160.42974008942468,160.42974008942468,0,126.28187376344225,2.895346106557728,37.65372988922066,37.65372988922066,-59.77344031943838,0,-91.87907334344214,0
sc2015,y2030,2030-04-11T19:00:00+02:00,189.50456539631156,189.50456539631156,-236.04763215296018,0,-224.85778507203776,0,-37.9497823712091,0,73.83017493574751,0,59.59900654654415,0,233.95656859922764,233.95656859922764,0,139.92188154830842,121.93908883953154,98.37473789614826,98.37473789614826,0,24.737873486484098,-24.05192603623407,-56.99405066325846,-56.99405066325846,-106.29443387531417,0,-246.06833545423407,0
