,,,Nuclear,DomesticCoal_Anthracite,BrownLignite,ImportedCoal_SubBituminous,ImportedCoal_Bituminous,CCGT_1,CCGT_2,CCGT_3,CCGT_4,OCGT_1,OCGT_2,OCGT_3,FuelOilGas,WindFarm_1,SolarPV_1,ESS1
2030,sc01,01-04 15:00:00+01:00,,,,,,,,,,,,,,85.3837,61.511975,
2030,sc01,01-04 16:00:00+01:00,,,,,,,,,,,,,,80.9369,38.773775,
2030,sc01,01-04 17:00:00+01:00,,,,,,,,,,,,,,81.771275,9.36555,
2030,sc01,01-04 18:00:00+01:00,,,,,,,,,,,,,,91.694525,0.06195,
2030,sc01,01-04 19:00:00+01:00,,,,,,,,,,,,,,93.9682,0.000001,
2030,sc01,01-04 20:00:00+01:00,,,,,,,,,,,,,,89.066575,0.000001,
2030,sc01,01-04 21:00:00+01:00,,,,,,,,,,,,,,78.483875,0.000001,
2030,sc01,01-04 22:00:00+01:00,,,,,,,,,,,,,,66.7651,0.000001,
2030,sc01,01-04 23:00:00+01:00,,,,,,,,,,,,,,50.02975,0.000001,
2030,sc01,01-05 00:00:00+01:00,,,,,,,,,,,,,,37.7609,0.000001,
2030,sc01,01-05 01:00:00+01:00,,,,,,,,,,,,,,30.20635,0.000001,
2030,sc01,01-05 02:00:00+01:00,,,,,,,,,,,,,,28.1001,0.000001,
2030,sc01,01-05 03:00:00+01:00,,,,,,,,,,,,,,28.16045,0.000001,
2030,sc01,01-05 04:00:00+01:00,,,,,,,,,,,,,,26.66385,0.000001,
2030,sc01,01-05 05:00:00+01:00,,,,,,,,,,,,,,25.36375,0.000001,
2030,sc01,01-05 06:00:00+01:00,,,,,,,,,,,,,,29.7728,0.000001,
2030,sc01,01-05 07:00:00+01:00,,,,,,,,,,,,,,34.514625,0.047475,
2030,sc01,01-05 08:00:00+01:00,,,,,,,,,,,,,,39.494725,0.867275,
2030,sc01,01-05 09:00:00+01:00,,,,,,,,,,,,,,39.9516,17.364125,
2030,sc01,01-05 10:00:00+01:00,,,,,,,,,,,,,,36.855175,43.892575,
