,,,Area1
2030,sc01,01-10 23:00:00+01:00,14.49130611
2030,sc01,01-11 00:00:00+01:00,14.02175876
2030,sc01,01-11 01:00:00+01:00,13.73088822
2030,sc01,01-11 02:00:00+01:00,13.53695809
2030,sc01,01-11 03:00:00+01:00,13.65032394
2030,sc01,01-11 04:00:00+01:00,14.3817545
2030,sc01,01-11 05:00:00+01:00,15.8590972
2030,sc01,01-11 06:00:00+01:00,17.29952657
2030,sc01,01-11 07:00:00+01:00,18.20459132
2030,sc01,01-11 08:00:00+01:00,18.49559125
2030,sc01,01-11 09:00:00+01:00,18.68498175
2030,sc01,01-11 10:00:00+01:00,18.61960262
2030,sc01,01-11 11:00:00+01:00,18.41583642
2030,sc01,01-11 12:00:00+01:00,18.3780104
2030,sc01,01-11 13:00:00+01:00,18.27817771
2030,sc01,01-11 14:00:00+01:00,18.37132506
2030,sc01,01-11 15:00:00+01:00,18.77896734
2030,sc01,01-11 16:00:00+01:00,19.21334071
2030,sc01,01-11 17:00:00+01:00,19.4132073
2030,sc01,01-11 18:00:00+01:00,18.85156658
2030,sc01,01-11 19:00:00+01:00,18.09494141
2030,sc01,01-11 20:00:00+01:00,17.21150657
2030,sc01,01-11 21:00:00+01:00,16.37895371
2030,sc01,01-11 22:00:00+01:00,15.46089918
2030,sc01,01-11 23:00:00+01:00,14.57789454
2030,sc01,01-12 00:00:00+01:00,14.09838999
2030,sc01,01-12 01:00:00+01:00,13.76893231
2030,sc01,01-12 02:00:00+01:00,13.59117811
2030,sc01,01-12 03:00:00+01:00,13.69500274
2030,sc01,01-12 04:00:00+01:00,14.45233742
2030,sc01,01-12 05:00:00+01:00,15.92150827
2030,sc01,01-12 06:00:00+01:00,17.33620825
2030,sc01,01-12 07:00:00+01:00,18.16397428
2030,sc01,01-12 08:00:00+01:00,18.41038642
2030,sc01,01-12 09:00:00+01:00,18.55271083
2030,sc01,01-12 10:00:00+01:00,18.43568561
2030,sc01,01-12 11:00:00+01:00,18.15990325
2030,sc01,01-12 12:00:00+01:00,17.95355418
2030,sc01,01-12 13:00:00+01:00,17.77426118
2030,sc01,01-12 14:00:00+01:00,17.80305824
2030,sc01,01-12 15:00:00+01:00,18.19896262
2030,sc01,01-12 16:00:00+01:00,18.75385512
2030,sc01,01-12 17:00:00+01:00,18.88153777
2030,sc01,01-12 18:00:00+01:00,18.28171662
2030,sc01,01-12 19:00:00+01:00,17.50940628
2030,sc01,01-12 20:00:00+01:00,16.65173326
2030,sc01,01-12 21:00:00+01:00,15.98968603
2030,sc01,01-12 22:00:00+01:00,15.18771028
2030,sc01,01-12 23:00:00+01:00,14.32464947
2030,sc01,01-13 00:00:00+01:00,13.78216698
2030,sc01,01-13 01:00:00+01:00,13.39890392
2030,sc01,01-13 02:00:00+01:00,13.05749556
2030,sc01,01-13 03:00:00+01:00,12.89708314
2030,sc01,01-13 04:00:00+01:00,12.94376536
2030,sc01,01-13 05:00:00+01:00,13.50190886
2030,sc01,01-13 06:00:00+01:00,14.2789597
2030,sc01,01-13 07:00:00+01:00,14.97152778
2030,sc01,01-13 08:00:00+01:00,15.58909013
2030,sc01,01-13 09:00:00+01:00,15.96649516
2030,sc01,01-13 10:00:00+01:00,15.97657876
2030,sc01,01-13 11:00:00+01:00,15.84477213
2030,sc01,01-13 12:00:00+01:00,15.46603348
2030,sc01,01-13 13:00:00+01:00,15.23078112
2030,sc01,01-13 14:00:00+01:00,15.17405169
2030,sc01,01-13 15:00:00+01:00,15.70859861
2030,sc01,01-13 16:00:00+01:00,16.44489608
2030,sc01,01-13 17:00:00+01:00,16.84345347
2030,sc01,01-13 18:00:00+01:00,16.45955637
2030,sc01,01-13 19:00:00+01:00,15.89355076
2030,sc01,01-13 20:00:00+01:00,15.33887402
2030,sc01,01-13 21:00:00+01:00,14.81552062
2030,sc01,01-13 22:00:00+01:00,14.1841147
2030,sc01,01-13 23:00:00+01:00,13.46025537
2030,sc01,01-14 00:00:00+01:00,13.02057297
2030,sc01,01-14 01:00:00+01:00,12.63202505
2030,sc01,01-14 02:00:00+01:00,12.29648332
2030,sc01,01-14 03:00:00+01:00,12.10403507
2030,sc01,01-14 04:00:00+01:00,12.00851565
2030,sc01,01-14 05:00:00+01:00,12.24077447
2030,sc01,01-14 06:00:00+01:00,12.60391763
2030,sc01,01-14 07:00:00+01:00,13.10500873
2030,sc01,01-14 08:00:00+01:00,13.75639159
2030,sc01,01-14 09:00:00+01:00,14.36676295
2030,sc01,01-14 10:00:00+01:00,14.60068995
2030,sc01,01-14 11:00:00+01:00,14.56584259
2030,sc01,01-14 12:00:00+01:00,14.28849198
2030,sc01,01-14 13:00:00+01:00,14.07171349
2030,sc01,01-14 14:00:00+01:00,14.04675813
2030,sc01,01-14 15:00:00+01:00,14.64155319
2030,sc01,01-14 16:00:00+01:00,15.67251029
2030,sc01,01-14 17:00:00+01:00,16.31158771
2030,sc01,01-14 18:00:00+01:00,16.23523875
2030,sc01,01-14 19:00:00+01:00,15.90963965
2030,sc01,01-14 20:00:00+01:00,15.47120153
2030,sc01,01-14 21:00:00+01:00,14.94632489
2030,sc01,01-14 22:00:00+01:00,14.2225473
2030,sc01,01-14 23:00:00+01:00,13.50972629
