Scenario,Period,LoadLevel,Demand
sc01,y2030,2030-01-22T23:00:00+01:00,189.1849218023708
sc01,y2030,2030-01-23T03:00:00+01:00,40.672767857620784
sc01,y2030,2030-01-23T07:00:00+01:00,246.56827718137083
sc01,y2030,2030-01-23T11:00:00+01:00,409.35343128912086
sc01,y2030,2030-01-23T15:00:00+01:00,390.72626700962087
sc01,y2030,2030-01-23T19:00:00+01:00,429.24967736937083
sc01,y2030,2030-01-23T23:00:00+01:00,223.56880576162075
sc01,y2030,2030-01-24T03:00:00+01:00,79.31452292212089
sc01,y2030,2030-01-24T07:00:00+01:00,267.4117598636212
sc01,y2030,2030-01-24T11:00:00+01:00,420.420063291371
sc01,y2030,2030-01-24T15:00:00+01:00,398.23401501212106
sc01,y2030,2030-01-24T19:00:00+01:00,444.536932648371
sc01,y2030,2030-01-24T23:00:00+01:00,247.0857543931213
sc01,y2030,2030-01-25T03:00:00+01:00,100.37477160562139
sc01,y2030,2030-01-25T07:00:00+01:00,290.939821303871
sc01,y2030,2030-01-25T11:00:00+01:00,440.0223921618717
sc01,y2030,2030-01-25T15:00:00+01:00,414.9617792646213
sc01,y2030,2030-01-25T19:00:00+01:00,461.5390934398713
sc01,y2030,2030-01-25T23:00:00+01:00,265.59618090162144
sc01,y2030,2030-01-26T03:00:00+01:00,115.10277264087176
sc01,y2030,2030-01-26T07:00:00+01:00,300.1575232031216
sc01,y2030,2030-01-26T11:00:00+01:00,449.45733797487196
sc01,y2030,2030-01-26T15:00:00+01:00,404.8656523421221
sc01,y2030,2030-01-26T19:00:00+01:00,432.7737955213722
sc01,y2030,2030-01-26T23:00:00+01:00,242.68940359287217
sc01,y2030,2030-01-27T03:00:00+01:00,73.63620308387203
sc01,y2030,2030-01-27T07:00:00+01:00,108.73727936412183
sc01,y2030,2030-01-27T11:00:00+01:00,257.722074539872
sc01,y2030,2030-01-27T15:00:00+01:00,208.28366625787226
sc01,y2030,2030-01-27T19:00:00+01:00,285.2271142053721
sc01,y2030,2030-01-27T23:00:00+01:00,155.8675191013724
sc01,y2030,2030-01-28T03:00:00+01:00,3.265738147872298
sc01,y2030,2030-01-28T07:00:00+01:00,-11.329876447878178
sc01,y2030,2030-01-28T11:00:00+01:00,141.1955727396221
sc01,y2030,2030-01-28T15:00:00+01:00,140.08605459587193
sc01,y2030,2030-01-28T19:00:00+01:00,242.08777011287225
sc01,y2030,2030-01-28T23:00:00+01:00,136.05464138687194
sc01,y2030,2030-01-29T03:00:00+01:00,13.059776302871796
sc01,y2030,2030-01-29T07:00:00+01:00,241.81464565712213
sc01,y2030,2030-01-29T11:00:00+01:00,415.48335798637186
sc01,y2030,2030-01-29T15:00:00+01:00,382.92291443912177
sc01,y2030,2030-01-29T19:00:00+01:00,422.88590292137224
sc01,y2030,2030-01-29T23:00:00+01:00,210.3267207413719
sc01,y2030,2030-01-30T03:00:00+01:00,62.40690522587215
