Scenario,Period,LoadLevel,FR00
sc2025,y2025,2025-01-15T15:00:00+01:00,0
sc2025,y2025,2025-01-15T17:00:00+01:00,0
sc2025,y2025,2025-01-15T19:00:00+01:00,0
sc2025,y2025,2025-01-15T21:00:00+01:00,0
sc2025,y2025,2025-01-15T23:00:00+01:00,0
sc2025,y2025,2025-01-16T01:00:00+01:00,0
sc2025,y2025,2025-01-16T03:00:00+01:00,0
sc2025,y2025,2025-01-16T05:00:00+01:00,0
sc2025,y2025,2025-01-16T07:00:00+01:00,0
sc2025,y2025,2025-01-16T09:00:00+01:00,0
sc2025,y2025,2025-01-16T11:00:00+01:00,0
sc2025,y2025,2025-01-16T13:00:00+01:00,0
sc2025,y2025,2025-01-16T15:00:00+01:00,0
sc2025,y2025,2025-01-16T17:00:00+01:00,0
sc2025,y2025,2025-01-16T19:00:00+01:00,0
sc2025,y2025,2025-01-16T21:00:00+01:00,0
sc2025,y2025,2025-01-16T23:00:00+01:00,0
sc2025,y2025,2025-01-17T01:00:00+01:00,0
sc2025,y2025,2025-01-17T03:00:00+01:00,0
sc2025,y2025,2025-01-17T05:00:00+01:00,0
sc2025,y2025,2025-01-17T07:00:00+01:00,0
sc2025,y2025,2025-01-17T09:00:00+01:00,0
sc2025,y2025,2025-01-17T11:00:00+01:00,0
sc2025,y2025,2025-01-17T13:00:00+01:00,0
sc2025,y2025,2025-01-17T15:00:00+01:00,0
sc2025,y2025,2025-01-17T17:00:00+01:00,0
sc2025,y2025,2025-01-17T19:00:00+01:00,0
sc2025,y2025,2025-01-17T21:00:00+01:00,0
sc2025,y2025,2025-01-17T23:00:00+01:00,0
sc2025,y2025,2025-01-18T01:00:00+01:00,0
sc2025,y2025,2025-01-18T03:00:00+01:00,0
sc2025,y2025,2025-01-18T05:00:00+01:00,0
sc2025,y2025,2025-01-18T07:00:00+01:00,0
sc2025,y2025,2025-01-18T09:00:00+01:00,0
sc2025,y2025,2025-01-18T11:00:00+01:00,0
sc2025,y2025,2025-01-18T13:00:00+01:00,0
sc2025,y2025,2025-01-18T15:00:00+01:00,0
sc2025,y2025,2025-01-18T17:00:00+01:00,0
sc2025,y2025,2025-01-18T19:00:00+01:00,0
sc2025,y2025,2025-01-18T21:00:00+01:00,0
sc2025,y2025,2025-01-18T23:00:00+01:00,0
sc2025,y2025,2025-01-19T01:00:00+01:00,0
sc2025,y2025,2025-01-19T03:00:00+01:00,0
sc2025,y2025,2025-01-19T05:00:00+01:00,0
sc2025,y2025,2025-01-19T07:00:00+01:00,0
sc2025,y2025,2025-01-19T09:00:00+01:00,0
sc2025,y2025,2025-01-19T11:00:00+01:00,0
sc2025,y2025,2025-01-19T13:00:00+01:00,0
sc2025,y2025,2025-01-19T15:00:00+01:00,0
sc2025,y2025,2025-01-19T17:00:00+01:00,0
sc2025,y2025,2025-01-19T19:00:00+01:00,0
sc2025,y2025,2025-01-19T21:00:00+01:00,0
sc2025,y2025,2025-01-19T23:00:00+01:00,0
