,Node,Technology,StorageType,MustRun,MaximumPower,MinimumPower,MaximumCharge,InitialStorage,MaximumStorage,MinimumStorage,Efficiency,EFOR,RampUp,RampDown,UpTime,DownTime,FuelCost,LinearTerm,ConstantTerm,OMVariableCost,StartUpCost,ShutDownCost,CO2EmissionRate,FixedCost,FixedChargeRate,BinaryInvestment,MaximumReactivePower,MinimumReactivePower
FR00_Lignite,FR00,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
GR00_Lignite,GR00,Lignite,,,3149,1574.5,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
GR03_Lignite,GR03,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
HR00_Lignite,HR00,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
HU00_Lignite,HU00,Lignite,,,682,341,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
IE00_Lignite,IE00,Lignite,,,202.5600052,101.2800026,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
ITCN_Lignite,ITCN,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
ITCS_Lignite,ITCS,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
ITN1_Lignite,ITN1,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
ITS1_Lignite,ITS1,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
ITSA_Lignite,ITSA,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
ITSI_Lignite,ITSI,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
LT00_Lignite,LT00,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
LUG1_Lignite,LUG1,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
LV00_Lignite,LV00,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
ME00_Lignite,ME00,Lignite,,,337.5,168.75,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
MK00_Lignite,MK00,Lignite,,,615,307.5,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
MT00_Lignite,MT00,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
NL00_Lignite,NL00,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
NOM1_Lignite,NOM1,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
NON1_Lignite,NON1,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
NOS0_Lignite,NOS0,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
PL00_Lignite,PL00,Lignite,,,7613.359985,3806.679993,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
PT00_Lignite,PT00,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
RO00_Lignite,RO00,Lignite,,,3414.700001,1707.35,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
RS00_Lignite,RS00,Lignite,,,5090.247986,2545.123993,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
SE01_Lignite,SE01,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
SE02_Lignite,SE02,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
SE03_Lignite,SE03,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
SE04_Lignite,SE04,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
SI00_Lignite,SI00,Lignite,,,844,422,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
