Scenario,Period,LoadLevel,AT00_HydroTurbinePumpStorage,BA00_HydroTurbinePumpStorage,BE00_HydroTurbinePumpStorage,BG00_HydroTurbinePumpStorage,CH00_HydroTurbinePumpStorage,CZ00_HydroTurbinePumpStorage,DE00_HydroTurbinePumpStorage,ES00_HydroTurbinePumpStorage,FR00_HydroTurbinePumpStorage,GR00_HydroTurbinePumpStorage,HR00_HydroTurbinePumpStorage,IE00_HydroTurbinePumpStorage,ITCS_HydroTurbinePumpStorage,ITN1_HydroTurbinePumpStorage,ITSA_HydroTurbinePumpStorage,ITSI_HydroTurbinePumpStorage,LT00_HydroTurbinePumpStorage,NOM1_HydroTurbinePumpStorage,NON1_HydroTurbinePumpStorage,NOS0_HydroTurbinePumpStorage,PL00_HydroTurbinePumpStorage,PT00_HydroTurbinePumpStorage,RO00_HydroTurbinePumpStorage,RS00_HydroTurbinePumpStorage,SI00_HydroTurbinePumpStorage,SK00_HydroTurbinePumpStorage,UK00_HydroTurbinePumpStorage
sc2025,y2025,2025-01-03T19:00:00+01:00,0.0,0.0,2.79,0.0,0.0,0.0,17.644023863100102,13.790000000000001,7.0,0.0,0.0,0.0,1.268108551189986,9.264449994380001,0.48,0.0,0.0,0.0,0.0,0.0,0.0,7.664000000000001,1.492,0.0,0.6965238297580088,0.0,5.908
sc2025,y2025,2025-01-03T21:00:00+01:00,8.376560057999999,0.6009523529900078,2.79,1.7462150617599743,7.978,2.315999938,20.074,13.790000000000001,7.0,1.47,0.6,0.0,3.494,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.492,0.0,1.068,1.8521199952,5.908
sc2025,y2025,2025-01-03T23:00:00+01:00,8.376560057999999,0.88,2.79,2.798,7.978,2.315999938,20.074,13.790000000000001,7.0,1.47,0.6,0.0,3.494,10.01,0.48,0.0,0.24478851900000556,0.0,0.0,0.0,0.0,7.664000000000001,1.492,0.8235014102600039,1.068,1.8521199952,5.908
sc2025,y2025,2025-01-04T01:00:00+01:00,8.376560057999999,0.88,2.79,2.798,7.647811362360004,2.315999938,20.074,13.790000000000001,7.0,1.47,0.6,0.0,3.494,10.01,0.48,0.0,0.4867831810000055,0.0,0.0,0.0,0.47793023620001573,7.664000000000001,1.492,1.228,1.068,1.8521199952,5.908
sc2025,y2025,2025-01-04T03:00:00+01:00,8.376560057999999,0.88,2.79,2.798,7.978,2.315999938,20.074,13.790000000000001,7.0,1.47,0.6,0.0,3.494,10.01,0.48,0.0,1.1022000102000158,0.0,0.0,0.0,3.0035999460000005,7.664000000000001,1.492,1.228,1.068,1.8521199952,5.908
sc2025,y2025,2025-01-04T05:00:00+01:00,8.376560057999999,0.88,2.79,2.798,7.978,2.315999938,20.074,13.790000000000001,7.0,1.47,0.6,0.0,3.494,10.01,0.48,0.0,0.0,0.0,0.0,0.0,1.2560865012000224,6.137003121999993,1.492,1.228,1.068,1.8521199952,5.908
sc2025,y2025,2025-01-04T07:00:00+01:00,4.730793046228278,0.0,2.79,0.0,5.906670613700006,0.0,20.074,13.790000000000001,7.0,0.0,0.0,0.0,3.128327322579992,10.01,0.48,0.0,0.0,0.0,0.0,0.0,0.0,4.751468165999992,0.0,0.0,0.0,0.0,5.908
sc2025,y2025,2025-01-04T09:00:00+01:00,2.847066601536106,0.0,2.79,0.0,3.8954194778000057,0.0,13.591974367897162,10.805908687645747,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,7.664000000000001,0.0,0.0,0.0,0.0,5.908
sc2025,y2025,2025-01-04T11:00:00+01:00,8.376560057999999,0.0,1.3646933411000117,0.0,5.131601669300012,0.0,9.934107684120045,13.790000000000001,0.0,0.0,0.0,0.0,1.2852903538399922,5.343250393370206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0972074729999948,0.0,0.0,0.0,0.0,5.908
sc2025,y2025,2025-01-04T13:00:00+01:00,1.5527176796793056,0.0,2.001820237870763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7694648969799918,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,1.162334908999994,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-04T15:00:00+01:00,0.0,0.0,2.79,0.0,0.0,0.0,0.0,13.790000000000001,7.0,0.0,0.0,0.0,1.459259311459986,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.9637631069999939,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-04T17:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.790000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.664000000000001,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-04T19:00:00+01:00,0.0,0.0,1.1033172384000078,0.0,0.0,0.0,0.0,13.790000000000001,0.0,0.0,0.0,0.0,3.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.664000000000001,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-04T21:00:00+01:00,0.0,0.0,2.547202515399997,0.0,7.978,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.4262686496806543,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.7966898259999953,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-04T23:00:00+01:00,0.0,0.88,2.79,2.798,0.0,1.0973916459999926,0.0,13.790000000000001,4.597101192000181,1.47,0.0,0.0,3.494,10.01,0.48,0.0,0.3866283690000065,0.0,0.0,0.0,0.0,2.583475351999998,1.492,0.0,1.068,0.7110347472300229,5.908
sc2025,y2025,2025-01-05T01:00:00+01:00,0.0,0.88,2.79,2.798,7.978,2.315999938,16.336633656300062,13.790000000000001,7.0,1.47,0.6,0.0,3.494,10.01,0.48,0.0,0.4775973620000061,0.0,0.0,0.0,0.0,7.664000000000001,1.492,1.228,1.068,1.8521199952,5.908
