Scenario,Period,LoadLevel,Biofuel,Gas,HardCoal,HydroRun,HydroTurbinePumpStorage,HydroTurbineReservoir,Lignite,Nuclear,Oil,OthersNonRenewable,OthersRenewable,SolarPhotovoltaic,SolarThermal,WindOffshore,WindOnshore
sc2025,y2025,2025-01-22T17:00:00+01:00,12513.09774,15120.0253934567,8039.852790999999,64814.97620904999,51395.11919424773,103987.8123915,2967.9329344999355,42652.66630551506,0.0,59961.131397900004,36350.99831072,62601.61776211649,380.00000458,34294.49891665,78318.21877755395
sc2025,y2025,2025-01-22T19:00:00+01:00,12495.09774,6535.084243512687,8039.852790999999,60735.97620904999,29629.20341121743,102660.9160467,0.0,14240.389243144977,0.0,58581.29140160001,28369.69831148,165281.982093235,350.00000525,33190.577582419995,78594.36086649477
sc2025,y2025,2025-01-22T21:00:00+01:00,12412.472454850023,4737.50652046767,6356.431335599944,50523.40589905,18890.44266029237,102463.3513681,0.0,10642.455184194923,0.0,59082.131397900004,29852.54166498,163560.87260399995,350.00000525,23710.150074444995,82599.94258539479
sc2025,y2025,2025-01-22T23:00:00+01:00,11442.88321314998,3677.1570334849966,2778.709080899939,48238.46538285,12681.00350390503,102673.67250925,0.0,9188.476245299962,0.0,45344.94621064502,29654.07136807974,163670.44427285,350.00000525,23862.305616155,73857.880769436
sc2025,y2025,2025-01-23T01:00:00+01:00,8829.09774,2964.7271765099968,188.3194183999386,43172.953777949995,3832.0000000000005,101997.46696387103,0.0,7341.166706583977,0.0,37042.5300766,24469.30444649001,150700.4329012498,350.00000525,19921.225025424013,66454.50602731097
sc2025,y2025,2025-01-23T03:00:00+01:00,6459.587761,2779.5801405099965,0.0,45128.223124899996,5883.399540425168,94877.03199075001,0.0,6622.021878229982,0.0,41817.19845335001,24643.89217046,157497.07944289997,300.00000450000005,17772.296329565102,53665.402519034746
sc2025,y2025,2025-01-23T05:00:00+01:00,8811.09774,2843.6458145099964,0.0,48231.70667665001,8794.69416742162,100338.26173285501,0.0,10054.630926419992,0.0,48254.135505174876,26296.37445894,164713.62538035001,300.00000450000005,16400.934229973464,51243.06618588496
sc2025,y2025,2025-01-23T07:00:00+01:00,12513.09774,16257.733562445283,7596.391982399939,64814.97620904999,44445.177457762555,104588.134003,0.0,62243.550353977604,61.747098605000716,61196.3330579,38871.80165572,21674.428500187987,853.3865901750028,18530.944343689996,56315.81425207651
sc2025,y2025,2025-01-23T09:00:00+01:00,12513.09774,30289.46978754548,8039.852790999999,64814.97620904999,46859.307494365814,104588.134003,59.94532214994219,83949.07894433012,163.07760865000077,61196.3330579,38871.80165572,30979.66689967098,4933.111221720003,16219.00612196499,54265.1436092275
sc2025,y2025,2025-01-23T11:00:00+01:00,12513.09774,15360.396440574496,8039.852790999999,64814.97620904999,46342.03397733001,104588.134003,1808.3727241499412,78175.69778322494,186.7890944350008,61196.3330579,38871.80165572,65974.47087637497,5170.18022102,17038.498866879992,50037.3663496055
