Scenario,Period,LoadLevel,AL00,AT00,BA00,BE00,BG00,CH00,CY00,CZ00,DE00,DEKF,DKE1,DKKF,DKW1,EE00,ES00,FI00,FR00,FR15,GR00,GR03,HR00,HU00,IE00,ITCN,ITCO,ITCS,ITN1,ITS1,ITSA,ITSC,ITSI,LT00,LUB1,LUF1,LUG1,LUV1,LV00,ME00,MK00,MT00,NL00,NOM0,NOM1,NON0,NON1,NOS0,PL00,PT00,RO00,RS00,SE01,SE02,SE03,SE04,SI00,SK00,TR00,UA01,UK00,UKNI
sc2025,y2025,2025-01-03T07:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,50.07046297999998,98.74866406499989,0,0,0,0,0,0,0,0,3134.1076418499983,0,1762.9126319999978,4853.942213360014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-03T09:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,51.92492457499998,94.59418953499984,0,0,0,0,0,0,0,0,3274.2170497499974,0,0.0,5173.634229760011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-03T11:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,57.591334989999986,88.27370690499986,0,0,0,0,0,0,0,0,3282.798773699997,0,1950.413963049999,5016.3885147600095,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-03T13:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,57.694360639999985,90.15564836499985,0,0,0,0,0,0,0,0,3376.2863307499974,0,2060.6165011499984,4875.644424760011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-03T15:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,56.664104199999976,89.62302343499984,0,0,0,0,0,0,0,0,3473.171222399998,0,2025.1054737499996,5100.402609760007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-03T17:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,52.74912972499998,93.24487302499985,0,0,0,0,0,0,0,0,3503.7460587499977,0,1855.265148899999,5167.999389760009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-03T19:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,52.852155369999984,78.50891631499982,0,0,0,0,0,0,0,0,3425.5549902999974,0,1577.8518336999996,4672.193158360015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-03T21:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,55.73687339999999,106.95108819499985,0,0,0,0,0,0,0,0,3263.543313899998,0,1313.77833915,3898.6092033600175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-03T23:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,59.54882223,107.55472974999985,0,0,0,0,0,0,0,0,2990.6481806499983,0,1049.4534051499986,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-04T01:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,73.14820723999999,137.34621814999983,0,0,0,0,0,0,0,0,2795.973623649999,0,809.0637136499992,2079.890783360018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
