,,,ES00,ES11,ES12,ES13,ES21,ES22,ES23,ES24,ES30,ES41,ES42,ES43,ES51,ES52,ES61,ES62
sc2015,y2030,2030-01-02T15:00:00+01:00,,2249.928238,1150.288593,512.7692047,1994.751262,630.6148513,208.4544179,1320.835763,3472.631795,1736.819854,1483.326658,607.5356983,5738.160635,3333.618583,4867.17034,1155.794108
sc2015,y2030,2030-01-02T16:00:00+01:00,,2201.809449,1125.687588,501.8027068,1952.089894,617.1280109,203.9962427,1292.587299,3398.363276,1699.674816,1451.603031,594.5424473,5615.439679,3262.323113,4763.077089,1131.075358
sc2015,y2030,2030-01-02T17:00:00+01:00,,2270.098985,1160.601001,517.3662125,2012.634331,636.2683527,210.3232247,1332.677138,3503.764155,1752.390552,1496.624774,612.9822937,5789.603602,3363.504681,4910.804825,1166.155874
sc2015,y2030,2030-01-02T18:00:00+01:00,,2446.517313,1250.795874,557.5727773,2169.044067,685.7152709,226.6682704,1436.244724,3776.055459,1888.575719,1612.933376,660.6195605,6239.536486,3624.895869,5292.442798,1256.782437
sc2015,y2030,2030-01-02T19:00:00+01:00,,2500.995316,1278.648062,569.9885699,2217.343414,700.9844858,231.7156227,1468.226409,3860.13905,1930.629717,1648.849488,675.3299549,6378.475822,3705.613503,5410.292655,1284.767932
sc2015,y2030,2030-01-02T20:00:00+01:00,,2501.519711,1278.916162,570.108082,2217.808335,701.1314644,231.7642076,1468.534259,3860.948423,1931.034521,1649.195209,675.4715544,6379.813226,3706.390476,5411.427056,1285.037315
sc2015,y2030,2030-01-02T21:00:00+01:00,,2523.788038,1290.300971,575.1831383,2237.551086,707.3728803,233.8273539,1481.607032,3895.318275,1948.224435,1663.876212,681.4845478,6436.605809,3739.384465,5459.599144,1296.476614
sc2015,y2030,2030-01-02T22:00:00+01:00,,2408.775637,1231.500228,548.9712724,2135.582886,675.1369509,223.1715282,1414.088216,3717.803405,1859.441239,1588.051145,650.4283844,6143.281063,3568.975708,5210.7979,1237.394438
sc2015,y2030,2030-01-02T23:00:00+01:00,,2205.908594,1127.783299,502.7369211,1955.724132,618.2769282,204.3760259,1294.99373,3404.690064,1702.839129,1454.305505,595.6493168,5625.894035,3268.396634,4771.944588,1133.181099
sc2015,y2030,2030-01-03T00:00:00+01:00,,1952.514975,998.234372,444.9873261,1731.069304,547.2552055,180.8992685,1146.237272,3013.591929,1507.233304,1287.248839,527.226837,4979.645295,2892.95458,4223.789369,1003.012125
sc2015,y2030,2030-01-03T01:00:00+01:00,,1791.843271,916.0900511,408.3694909,1588.620279,502.221786,166.0131376,1051.91385,2765.604613,1383.203658,1181.321629,483.8415442,4569.872207,2654.894465,3876.215373,920.4746443
sc2015,y2030,2030-01-03T02:00:00+01:00,,1679.452846,858.6298079,382.7551856,1488.976683,470.7207497,155.6002363,985.9342822,2592.136608,1296.444481,1107.225171,453.4933784,4283.234481,2488.370572,3633.086133,862.7393847
sc2015,y2030,2030-01-03T03:00:00+01:00,,1605.069987,820.6011486,365.8029829,1423.03,449.8725578,148.7087118,942.2673158,2477.331043,1239.025038,1058.186239,433.4081856,4093.5303,2378.160798,3472.17698,824.5287125
sc2015,y2030,2030-01-03T04:00:00+01:00,,1574.492583,804.968277,358.8342489,1395.920551,441.3022554,145.8757347,924.3166415,2430.13662,1215.420977,1038.02725,425.151538,4015.546454,2332.855619,3406.030232,808.8210188
sc2015,y2030,2030-01-03T05:00:00+01:00,,1574.019889,804.7266094,358.7265197,1395.501468,441.1697677,145.8319399,924.0391431,2429.407044,1215.056083,1037.715613,425.023899,4014.340907,2332.155249,3405.007674,808.5781945
sc2015,y2030,2030-01-03T06:00:00+01:00,,1637.449538,837.1553778,373.1824344,1451.737205,458.9479697,151.7086565,961.2759525,2527.306974,1264.020256,1079.533342,442.1514569,4176.110295,2426.136138,3542.222231,841.1621736
sc2015,y2030,2030-01-03T07:00:00+01:00,,1758.798995,899.1959769,400.8385451,1559.323739,492.9600632,162.9516064,1032.514981,2714.602717,1357.695308,1159.536287,474.9187806,4485.596911,2605.93423,3804.732149,903.4997116
sc2015,y2030,2030-01-03T08:00:00+01:00,,1882.696568,962.5393153,429.0753836,1669.169394,527.6863485,174.4306376,1105.249899,2905.831329,1453.337366,1241.219147,508.3741583,4801.58218,2789.507754,4072.754295,967.1462241
sc2015,y2030,2030-01-03T09:00:00+01:00,,2039.069709,1042.485972,464.7135562,1807.80738,571.5149574,188.9185095,1197.049821,3147.184066,1574.04876,1344.312412,550.5987339,5200.392321,3021.19888,4411.029401,1047.475521
sc2015,y2030,2030-01-03T10:00:00+01:00,,2227.903644,1139.028394,507.7496964,1975.2246,624.4417495,206.4138533,1307.906075,3438.63813,1719.818088,1468.806343,601.5885188,5681.989662,3300.985722,4819.525509,1144.480015
sc2015,y2030,2030-01-03T11:00:00+01:00,,2261.524017,1156.217,515.4119371,2005.031898,633.8649418,209.5287594,1327.643145,3490.529197,1745.771152,1490.971492,610.6668425,5767.734219,3350.799533,4892.254976,1161.75089
sc2015,y2030,2030-01-03T12:00:00+01:00,,2230.104626,1140.153658,508.2513105,1977.175957,625.0586457,206.6177729,1309.198177,3442.035217,1721.517125,1470.2574,602.1828379,5687.602992,3304.246819,4824.286797,1145.610666
sc2015,y2030,2030-01-03T13:00:00+01:00,,2202.754837,1126.170923,502.0181652,1952.92806,617.3929864,204.0838324,1293.142296,3399.822427,1700.404604,1452.226304,594.7977253,5617.850774,3263.723853,4765.122206,1131.561006
sc2015,y2030,2030-01-03T14:00:00+01:00,,2168.336793,1108.574503,494.1741314,1922.413559,607.746221,200.8950225,1272.936947,3346.700202,1673.835782,1429.535268,585.5040109,5530.071855,3212.728168,4690.667172,1113.880366
sc2015,y2030,2030-01-03T15:00:00+01:00,,2057.977476,1052.152675,469.022725,1824.570711,576.814468,190.670302,1208.149755,3176.367092,1588.644508,1356.777874,555.7042938,5248.614216,3049.213677,4451.931737,1057.188491
sc2015,y2030,2030-01-03T16:00:00+01:00,,2040.487791,1043.210974,465.0367439,1809.06463,571.9124207,189.0498939,1197.882316,3149.372793,1575.143441,1345.247321,550.9816509,5204.008964,3023.299989,4414.097076,1048.203994
sc2015,y2030,2030-01-03T17:00:00+01:00,,2075.090482,1060.901796,472.9228595,1839.742835,581.6109392,192.2558112,1218.196062,3202.780009,1601.8548,1368.06009,560.3252244,5292.258799,3074.569257,4488.951547,1065.979488
sc2015,y2030,2030-01-03T18:00:00+01:00,,2272.63233,1161.896189,517.9435738,2014.880355,636.9784043,210.5579376,1334.164356,3507.674224,1754.346154,1498.294951,613.6663589,5796.064582,3367.258226,4916.285099,1167.45726
sc2015,y2030,2030-01-03T19:00:00+01:00,,2367.850662,1210.577102,539.6442786,2099.299442,663.6664086,219.3798554,1390.062929,3654.638115,1827.849427,1561.070237,639.3776393,6038.907032,3508.338993,5122.266709,1216.37117
sc2015,y2030,2030-01-03T20:00:00+01:00,,2400.614277,1227.327686,547.1112601,2128.347152,672.8494668,222.4153834,1409.297033,3705.206825,1853.141121,1582.670546,648.2246173,6122.466534,3556.883383,5193.142789,1233.201926
