,Node,Technology,StorageType,MustRun,MaximumPower,MinimumPower,MaximumCharge,MaximumStorage,MinimumStorage,InitialStorage,Efficiency,EFOR,RampUp,RampDown,UpTime,DownTime,FuelCost,LinearTerm,ConstantTerm,OMVariableCost,StartUpCost,ShutDownCost,CO2EmissionRate,FixedCost,FixedChargeRate,MaximumReactivePower,MinimumReactivePower,BinaryInvestment
UGH_LMM2,ES42,Hydro_UGH,Weekly,,0.2,,,0.243143043,0.072942913,0.155927633,,,,,,,,,,,,,,,,,,
UGH_MLTG,ES24,CL_PSH,Weekly,,219.1,,225.3,31.44314008,0,31.44314008,0.7,,,,,,,,,,,,,,,,,
UGH_MOLIVI,ES51,Hydro_UGH,Weekly,,0.1,,,0.121571521,0.036471456,0.077963817,,,,,,,,,,,,,,,,,,
UGH_MUEL,ES52,CL_PSH,Weekly,,1511.7,,1390,26.9565175,0,26.9565175,0.7,,,,,,,,,,,,,,,,,
UGH_PGOM,ES12,Hydro_UGH,Weekly,,0,,,0,0,0,,,,,,,,,,,,,,,,,,
UGH_RESSEC,ES51,Hydro_UGH,Weekly,,0.2,,,0.243143043,0.072942913,0.155927633,,,,,,,,,,,,,,,,,,
UGH_RMU1,ES62,Hydro_UGH,Weekly,,0.2,,,0.243143043,0.072942913,0.155927633,,,,,,,,,,,,,,,,,,
UGH_SBEU,ES11,Hydro_UGH,Weekly,,625.9,,,760.9161527,228.2748458,487.9755287,,0.179102093,,,,,,,,,,,,,,,,
UGH_SFA2,ES22,Hydro_UGH,Weekly,,1.8,,,2.188287386,0.656486216,1.403348701,,,,,,,,,,,,,,,,,,
UGH_SIL,ES11,OL_PSH,Weekly,,1556.6,,412,1892.503874,567.7511623,1213.662735,0.7,0.167159193,,,,,,,,,,,,,,,,
UGH_SILPRU,ES11,Hydro_UGH,Weekly,,264,,,320.9488166,96.28464498,205.8244761,,,,,,,,,,,,,,,,,,
UGH_SILPRU1,ES11,Hydro_UGH,Weekly,,25.8,,,31.36545253,9.40963576,20.11466471,,,,,,,,,,,,,,,,,,
UGH_SLTG,ES51,CL_PSH,Daily,,439.2,,400,5.011855425,0,5.011855425,0.71,,,,,,,,,,,,,,,,,
UGH_SOL2,ES62,Hydro_UGH,Weekly,,2.2,,,2.674573472,0.802372042,1.715203967,,,,,,,,,,,,,,,,,,
UGH_TAJO,ES43,OL_PSH,Weekly,,2232.3,,380,2713.841073,814.1523219,1740.38628,0.7,0.110827398,,,,,,,,,,,,,,,,
UGH_TANB,ES12,CL_PSH,Weekly,,110,,110,7.9262075,0,7.9262075,0.7,,,,,,,,,,,,,,,,,
UGH_TEES,ES41,Hydro_UGH,Weekly,,151,,,183.5729974,55.07189921,117.7253632,,,,,,,,,,,,,,,,,,
UGH_TERE,ES51,Hydro_UGH,Weekly,,252,,,306.360234,91.90807021,196.4688181,,,,,,,,,,,,,,,,,,
UGH_TJEG,ES61,CL_PSH,Daily,,376.7,,421.149,2.769076875,0,2.769076875,0.71,,,,,,,,,,,,,,,,,
UGH_TRC2,ES12,Hydro_UGH,Weekly,,1,,,1.215715214,0.364714564,0.779638167,,,,,,,,,,,,,,,,,,
UGH_TRCD,ES12,Hydro_UGH,Weekly,,2.2,,,2.674573472,0.802372042,1.715203967,,0.272727273,,,,,,,,,,,,,,,,
UGH_UFBG,ES42,CL_PSH,Weekly,,215,,211.14,18.5531625,0,18.5531625,0.7,,,,,,,,,,,,,,,,,
UGH_UFGC,ES11,Hydro_UGH,Weekly,,385.8,,,469.0229297,140.7068789,300.7844048,,0.118973561,,,,,,,,,,,,,,,,
UGH_UFMI,ES11,Hydro_UGH,Weekly,,941.1,,,1144.109588,343.2328765,733.717479,,0.054298162,,,,,,,,,,,,,,,,
UGH_UFTA,ES42,Hydro_UGH,Weekly,,388.4,,,472.1837893,141.6551368,302.8114641,,0.099124614,,,,,,,,,,,,,,,,
UGH_ULEA,ES62,Hydro_UGH,Weekly,,1.6,,,1.945144343,0.583543303,1.247421067,,,,,,,,,,,,,,,,,,
UGH_UPPTCHA,ES11,Hydro_UGH,Weekly,,0.1,,,0.121571521,0.036471456,0.077963817,,,,,,,,,,,,,,,,,,
UGH_UPPTDIS,ES11,Hydro_UGH,Weekly,,0.5,,,0.607857607,0.182357282,0.389819084,,,,,,,,,,,,,,,,,,
UGH_UPSJUCA,ES52,Hydro_UGH,Weekly,,0.5,,,0.607857607,0.182357282,0.389819084,,,,,,,,,,,,,,,,,,
UGH_VIES,ES12,Hydro_UGH,Weekly,,331.3,,,402.7664505,120.8299352,258.2941247,,0.023543616,,,,,,,,,,,,,,,,
UGH_ZABU,ES41,Hydro_UGH,Weekly,,1.2,,,1.458858257,0.437657477,0.9355658,,,,,,,,,,,,,,,,,,
