Scenario,Period,LoadLevel,Demand
sc2015,y2030,2030-01-14T07:00:00+01:00,183.97160222042476
sc2015,y2030,2030-01-14T09:00:00+01:00,1164.310033560423
sc2015,y2030,2030-01-14T11:00:00+01:00,1289.3525475604229
sc2015,y2030,2030-01-14T13:00:00+01:00,1135.2187086604254
sc2015,y2030,2030-01-14T15:00:00+01:00,842.8225138604239
sc2015,y2030,2030-01-14T17:00:00+01:00,787.9345010104253
sc2015,y2030,2030-01-14T19:00:00+01:00,1341.5290491604255
sc2015,y2030,2030-01-14T21:00:00+01:00,1449.7751524604264
sc2015,y2030,2030-01-14T23:00:00+01:00,723.3614327904243
sc2015,y2030,2030-01-15T01:00:00+01:00,-126.39340227957473
sc2015,y2030,2030-01-15T03:00:00+01:00,-560.8334758795754
sc2015,y2030,2030-01-15T05:00:00+01:00,-572.2051761895755
sc2015,y2030,2030-01-15T07:00:00+01:00,172.95913253042636
sc2015,y2030,2030-01-15T09:00:00+01:00,1137.6262166104243
sc2015,y2030,2030-01-15T11:00:00+01:00,1270.9889556604248
sc2015,y2030,2030-01-15T13:00:00+01:00,1132.599301860423
sc2015,y2030,2030-01-15T15:00:00+01:00,888.1176039604234
sc2015,y2030,2030-01-15T17:00:00+01:00,904.6870304604236
sc2015,y2030,2030-01-15T19:00:00+01:00,1363.6545905104222
sc2015,y2030,2030-01-15T21:00:00+01:00,1396.311661910424
sc2015,y2030,2030-01-15T23:00:00+01:00,728.5127368204221
sc2015,y2030,2030-01-16T01:00:00+01:00,-58.515182129576715
sc2015,y2030,2030-01-16T03:00:00+01:00,-506.7427336395767
sc2015,y2030,2030-01-16T05:00:00+01:00,-545.0947020295757
sc2015,y2030,2030-01-16T07:00:00+01:00,165.81169157042405
sc2015,y2030,2030-01-16T09:00:00+01:00,1104.721210060423
sc2015,y2030,2030-01-16T11:00:00+01:00,1293.5994943104233
sc2015,y2030,2030-01-16T13:00:00+01:00,1159.8856405104243
sc2015,y2030,2030-01-16T15:00:00+01:00,893.0146440104236
sc2015,y2030,2030-01-16T17:00:00+01:00,810.7468083604244
sc2015,y2030,2030-01-16T19:00:00+01:00,1257.9431644104234
sc2015,y2030,2030-01-16T21:00:00+01:00,1319.5305751104233
sc2015,y2030,2030-01-16T23:00:00+01:00,756.2184604904241
sc2015,y2030,2030-01-17T01:00:00+01:00,33.243570940422615
sc2015,y2030,2030-01-17T03:00:00+01:00,-473.37822544957635
sc2015,y2030,2030-01-17T05:00:00+01:00,-639.3108040095772
sc2015,y2030,2030-01-17T07:00:00+01:00,-487.39301630957607
sc2015,y2030,2030-01-17T09:00:00+01:00,75.95041328042225
sc2015,y2030,2030-01-17T11:00:00+01:00,672.0009854704222
sc2015,y2030,2030-01-17T13:00:00+01:00,506.54337444042176
sc2015,y2030,2030-01-17T15:00:00+01:00,270.35247752042324
sc2015,y2030,2030-01-17T17:00:00+01:00,79.2557181404236
sc2015,y2030,2030-01-17T19:00:00+01:00,661.9726762204227
sc2015,y2030,2030-01-17T21:00:00+01:00,917.3483243104229
sc2015,y2030,2030-01-17T23:00:00+01:00,540.1689101104221
sc2015,y2030,2030-01-18T01:00:00+01:00,-205.67292718957833
sc2015,y2030,2030-01-18T03:00:00+01:00,-730.7892867895789
sc2015,y2030,2030-01-18T05:00:00+01:00,-885.172566099578
sc2015,y2030,2030-01-18T07:00:00+01:00,-787.333474389578
sc2015,y2030,2030-01-18T09:00:00+01:00,-481.64618480957824
sc2015,y2030,2030-01-18T11:00:00+01:00,192.69980402042165
sc2015,y2030,2030-01-18T13:00:00+01:00,412.6659084904213
sc2015,y2030,2030-01-18T15:00:00+01:00,370.78668022042257
sc2015,y2030,2030-01-18T17:00:00+01:00,164.53049471042232
sc2015,y2030,2030-01-18T19:00:00+01:00,622.3265204904228
sc2015,y2030,2030-01-18T21:00:00+01:00,912.8973127104227
sc2015,y2030,2030-01-18T23:00:00+01:00,552.5493985904232
sc2015,y2030,2030-01-19T01:00:00+01:00,-285.714911829577
sc2015,y2030,2030-01-19T03:00:00+01:00,-722.4633446095772
sc2015,y2030,2030-01-19T05:00:00+01:00,-734.6530646395781
sc2015,y2030,2030-01-19T07:00:00+01:00,121.88046169042264
sc2015,y2030,2030-01-19T09:00:00+01:00,1253.9651804604227
sc2015,y2030,2030-01-19T11:00:00+01:00,1575.550854010422
sc2015,y2030,2030-01-19T13:00:00+01:00,1486.2948019104215
sc2015,y2030,2030-01-19T15:00:00+01:00,1213.4382250104218
sc2015,y2030,2030-01-19T17:00:00+01:00,1131.3370920104226
sc2015,y2030,2030-01-19T19:00:00+01:00,1613.95713026042
sc2015,y2030,2030-01-19T21:00:00+01:00,1682.342525260422
sc2015,y2030,2030-01-19T23:00:00+01:00,886.6032489604222
sc2015,y2030,2030-01-20T01:00:00+01:00,18.528844470421973
sc2015,y2030,2030-01-20T03:00:00+01:00,-445.79645700957826
sc2015,y2030,2030-01-20T05:00:00+01:00,-463.2778193095796
sc2015,y2030,2030-01-20T07:00:00+01:00,334.1289118504219
sc2015,y2030,2030-01-20T09:00:00+01:00,1397.7060180104227
sc2015,y2030,2030-01-20T11:00:00+01:00,1615.3704485104208
sc2015,y2030,2030-01-20T13:00:00+01:00,1559.256822710423
sc2015,y2030,2030-01-20T15:00:00+01:00,1335.5363997604209
sc2015,y2030,2030-01-20T17:00:00+01:00,1327.949591310422
sc2015,y2030,2030-01-20T19:00:00+01:00,1768.4421366104216
sc2015,y2030,2030-01-20T21:00:00+01:00,1837.3717634604218
sc2015,y2030,2030-01-20T23:00:00+01:00,1050.4413835604219
sc2015,y2030,2030-01-21T01:00:00+01:00,71.48436982042313
sc2015,y2030,2030-01-21T03:00:00+01:00,-409.08953643957784
sc2015,y2030,2030-01-21T05:00:00+01:00,-443.32930700957877
sc2015,y2030,2030-01-21T07:00:00+01:00,343.5318850604217
sc2015,y2030,2030-01-21T09:00:00+01:00,1427.9031353604223
sc2015,y2030,2030-01-21T11:00:00+01:00,1652.0446266104218
sc2015,y2030,2030-01-21T13:00:00+01:00,1527.340086460421
sc2015,y2030,2030-01-21T15:00:00+01:00,1322.2686805104222
sc2015,y2030,2030-01-21T17:00:00+01:00,1333.4699010604236
sc2015,y2030,2030-01-21T19:00:00+01:00,1754.1744336604206
sc2015,y2030,2030-01-21T21:00:00+01:00,1826.3578393104217
sc2015,y2030,2030-01-21T23:00:00+01:00,1068.4075921104213
sc2015,y2030,2030-01-22T01:00:00+01:00,126.7836508704222
sc2015,y2030,2030-01-22T03:00:00+01:00,-360.92146447957793
sc2015,y2030,2030-01-22T05:00:00+01:00,-398.46952585957797
sc2015,y2030,2030-01-22T07:00:00+01:00,363.01775528042253
sc2015,y2030,2030-01-22T09:00:00+01:00,1357.9307017604215
sc2015,y2030,2030-01-22T11:00:00+01:00,1557.9255540104223
sc2015,y2030,2030-01-22T13:00:00+01:00,1432.8987365604216
sc2015,y2030,2030-01-22T15:00:00+01:00,1204.4462404604228
sc2015,y2030,2030-01-22T17:00:00+01:00,1138.0468241604221
sc2015,y2030,2030-01-22T19:00:00+01:00,1647.016434360422
sc2015,y2030,2030-01-22T21:00:00+01:00,1771.0210927104235
sc2015,y2030,2030-01-22T23:00:00+01:00,1042.7574950104217
sc2015,y2030,2030-01-23T01:00:00+01:00,134.65070380042107
sc2015,y2030,2030-01-23T03:00:00+01:00,-349.37481799958005
sc2015,y2030,2030-01-23T05:00:00+01:00,-384.4810725595794
sc2015,y2030,2030-01-23T07:00:00+01:00,364.94720721041995
sc2015,y2030,2030-01-23T09:00:00+01:00,1405.4388546604205
sc2015,y2030,2030-01-23T11:00:00+01:00,1515.93002731042
sc2015,y2030,2030-01-23T13:00:00+01:00,1258.7740971604217
sc2015,y2030,2030-01-23T15:00:00+01:00,945.8617812104203
sc2015,y2030,2030-01-23T17:00:00+01:00,865.0426617104213
sc2015,y2030,2030-01-23T19:00:00+01:00,1398.9611069104221
sc2015,y2030,2030-01-23T21:00:00+01:00,1562.0351478604207
sc2015,y2030,2030-01-23T23:00:00+01:00,974.9604064104215
sc2015,y2030,2030-01-24T01:00:00+01:00,170.80788029042196
sc2015,y2030,2030-01-24T03:00:00+01:00,-377.6644067695788
sc2015,y2030,2030-01-24T05:00:00+01:00,-530.1478385295782
sc2015,y2030,2030-01-24T07:00:00+01:00,-370.21094470957905
sc2015,y2030,2030-01-24T09:00:00+01:00,224.8152199804208
sc2015,y2030,2030-01-24T11:00:00+01:00,768.7812689104194
sc2015,y2030,2030-01-24T13:00:00+01:00,539.6970814404203
sc2015,y2030,2030-01-24T15:00:00+01:00,303.2314008104204
sc2015,y2030,2030-01-24T17:00:00+01:00,74.73488196042035
sc2015,y2030,2030-01-24T19:00:00+01:00,716.6885512404197
sc2015,y2030,2030-01-24T21:00:00+01:00,1031.4208349604196
sc2015,y2030,2030-01-24T23:00:00+01:00,653.6430844404194
sc2015,y2030,2030-01-25T01:00:00+01:00,-134.48296968957993
sc2015,y2030,2030-01-25T03:00:00+01:00,-654.0073848495799
sc2015,y2030,2030-01-25T05:00:00+01:00,-808.9555415095801
sc2015,y2030,2030-01-25T07:00:00+01:00,-686.52176884958
sc2015,y2030,2030-01-25T09:00:00+01:00,-402.976531659579
sc2015,y2030,2030-01-25T11:00:00+01:00,35.862977490419325
sc2015,y2030,2030-01-25T13:00:00+01:00,-46.34067272957873
sc2015,y2030,2030-01-25T15:00:00+01:00,-132.96613977957986
sc2015,y2030,2030-01-25T17:00:00+01:00,-357.0279550895798
sc2015,y2030,2030-01-25T19:00:00+01:00,351.9303578504205
sc2015,y2030,2030-01-25T21:00:00+01:00,890.8283245104221
sc2015,y2030,2030-01-25T23:00:00+01:00,579.7780341504222
sc2015,y2030,2030-01-26T01:00:00+01:00,-281.51257432957846
sc2015,y2030,2030-01-26T03:00:00+01:00,-701.0345989295784
sc2015,y2030,2030-01-26T05:00:00+01:00,-701.15809319958
sc2015,y2030,2030-01-26T07:00:00+01:00,175.12021179042222
sc2015,y2030,2030-01-26T09:00:00+01:00,1274.1095916104214
sc2015,y2030,2030-01-26T11:00:00+01:00,1344.0873843104218
sc2015,y2030,2030-01-26T13:00:00+01:00,1109.9928961104224
sc2015,y2030,2030-01-26T15:00:00+01:00,853.188235060421
sc2015,y2030,2030-01-26T17:00:00+01:00,819.2336344104215
sc2015,y2030,2030-01-26T19:00:00+01:00,1407.8830627104207
sc2015,y2030,2030-01-26T21:00:00+01:00,1628.0232951104217
sc2015,y2030,2030-01-26T23:00:00+01:00,894.4214791404211
sc2015,y2030,2030-01-27T01:00:00+01:00,-17.57869435957946
sc2015,y2030,2030-01-27T03:00:00+01:00,-463.6579773795793
sc2015,y2030,2030-01-27T05:00:00+01:00,-468.89127916958023
sc2015,y2030,2030-01-27T07:00:00+01:00,306.5421930404209
sc2015,y2030,2030-01-27T09:00:00+01:00,1319.2102643604221
sc2015,y2030,2030-01-27T11:00:00+01:00,1390.905379260421
sc2015,y2030,2030-01-27T13:00:00+01:00,1141.9810652104225
sc2015,y2030,2030-01-27T15:00:00+01:00,900.7627177104205
sc2015,y2030,2030-01-27T17:00:00+01:00,833.7465916104193
sc2015,y2030,2030-01-27T19:00:00+01:00,1360.1845989104195
sc2015,y2030,2030-01-27T21:00:00+01:00,1617.9304173604205
sc2015,y2030,2030-01-27T23:00:00+01:00,893.4237932104179
sc2015,y2030,2030-01-28T01:00:00+01:00,49.492174240418535
sc2015,y2030,2030-01-28T03:00:00+01:00,-412.2390114295822
sc2015,y2030,2030-01-28T05:00:00+01:00,-449.52249893958106
sc2015,y2030,2030-01-28T07:00:00+01:00,321.64945406041807
sc2015,y2030,2030-01-28T09:00:00+01:00,1297.2422105604192
sc2015,y2030,2030-01-28T11:00:00+01:00,1337.7913702104188
sc2015,y2030,2030-01-28T13:00:00+01:00,1064.2299336604192
sc2015,y2030,2030-01-28T15:00:00+01:00,780.6247467604189
sc2015,y2030,2030-01-28T17:00:00+01:00,705.4950371604191
sc2015,y2030,2030-01-28T19:00:00+01:00,1287.9038057604193
sc2015,y2030,2030-01-28T21:00:00+01:00,1516.7144611604172
sc2015,y2030,2030-01-28T23:00:00+01:00,812.3621497904196
sc2015,y2030,2030-01-29T01:00:00+01:00,-29.433503809581453
sc2015,y2030,2030-01-29T03:00:00+01:00,-471.76535877958077
sc2015,y2030,2030-01-29T05:00:00+01:00,-503.02217869958076
sc2015,y2030,2030-01-29T07:00:00+01:00,241.65424854041885
sc2015,y2030,2030-01-29T09:00:00+01:00,1175.4403585604196
sc2015,y2030,2030-01-29T11:00:00+01:00,1288.8275578104176
sc2015,y2030,2030-01-29T13:00:00+01:00,1192.064246010419
sc2015,y2030,2030-01-29T15:00:00+01:00,1016.3081370604186
sc2015,y2030,2030-01-29T17:00:00+01:00,1002.1429269604205
sc2015,y2030,2030-01-29T19:00:00+01:00,1400.7451153604206
sc2015,y2030,2030-01-29T21:00:00+01:00,1522.0210843104214
sc2015,y2030,2030-01-29T23:00:00+01:00,847.3207136004203
sc2015,y2030,2030-01-30T01:00:00+01:00,44.41437099041923
sc2015,y2030,2030-01-30T03:00:00+01:00,-386.5373117995805
sc2015,y2030,2030-01-30T05:00:00+01:00,-442.6608658595801
sc2015,y2030,2030-01-30T07:00:00+01:00,226.5057976104208
sc2015,y2030,2030-01-30T09:00:00+01:00,1099.4246164604192
sc2015,y2030,2030-01-30T11:00:00+01:00,1280.4541722604208
sc2015,y2030,2030-01-30T13:00:00+01:00,1224.179306010421
sc2015,y2030,2030-01-30T15:00:00+01:00,992.3065590604183
sc2015,y2030,2030-01-30T17:00:00+01:00,915.7479635604186
sc2015,y2030,2030-01-30T19:00:00+01:00,1249.1932953604191
sc2015,y2030,2030-01-30T21:00:00+01:00,1259.6515801604191
sc2015,y2030,2030-01-30T23:00:00+01:00,696.9524752404177
sc2015,y2030,2030-01-31T01:00:00+01:00,52.81161804041858
sc2015,y2030,2030-01-31T03:00:00+01:00,-457.1972255995811
sc2015,y2030,2030-01-31T05:00:00+01:00,-587.3999742895808
sc2015,y2030,2030-01-31T07:00:00+01:00,-442.71553138958143
sc2015,y2030,2030-01-31T09:00:00+01:00,54.16029171041919
sc2015,y2030,2030-01-31T11:00:00+01:00,650.9739369404197
