Scenario,Period,LoadLevel,CCGT1,CCGT2,CCGT3,CCGT4,CCGT5,CCGT6,CCGT7,Coal1,Coal2,Nuclear1,Nuclear2
sc2015,y2030,2030-01-04T23:00:00+01:00,0.0,0.0,1.0,0.8662461948034255,0.4123279007083339,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-05T01:00:00+01:00,0.0,0.0,1.0,0.8662461948034255,0.4123279007083339,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-05T03:00:00+01:00,0.0,0.0,1.0,0.8662461948034255,0.4123279007083339,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-05T05:00:00+01:00,0.0,0.0,1.0,0.8662461948034255,0.4123279007083339,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-05T07:00:00+01:00,0.0,0.0,1.0,0.8662461948034255,0.4123279007083339,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-05T09:00:00+01:00,0.0,0.0,1.0,0.8662461948034255,0.4123279007083339,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-05T11:00:00+01:00,0.0,0.0,1.0,0.8662461948034255,0.4123279007083339,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-05T13:00:00+01:00,0.0,0.0,1.0,0.8662461948034255,0.4123279007083339,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-05T15:00:00+01:00,0.0,0.0,1.0,0.8662461948034255,0.4123279007083339,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-05T17:00:00+01:00,0.0,0.0,1.0,0.8662461948034255,0.4123279007083339,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-05T19:00:00+01:00,0.0,0.0,1.0,0.8662461948034255,0.4123279007083339,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-05T21:00:00+01:00,0.0,0.0,1.0,0.8662461948034255,0.4123279007083339,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-05T23:00:00+01:00,0.0,0.0,1.0,0.8662461948034255,0.4123279007083339,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-06T01:00:00+01:00,0.0,0.0,1.0,0.8662461948034255,0.4123279007083339,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-06T03:00:00+01:00,0.0,0.0,1.0,0.8662461948034255,0.4123279007083339,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-06T05:00:00+01:00,0.0,0.0,1.0,0.8662461948034255,0.4123279007083339,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-06T07:00:00+01:00,0.0,0.0,1.0,0.8662461948034255,0.4123279007083339,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-06T09:00:00+01:00,0.0,0.0,1.0,0.8662461948034255,0.4123279007083339,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-06T11:00:00+01:00,0.0,0.0,1.0,0.8662461948034255,0.4123279007083339,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-06T13:00:00+01:00,0.0,0.0,1.0,0.8662461948034255,0.4123279007083339,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-06T15:00:00+01:00,0.0,0.0,1.0,0.8662461948034255,0.4123279007083339,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-06T17:00:00+01:00,0.0,0.04107263451315792,1.0,1.0,0.7046477544603552,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-06T19:00:00+01:00,0.0,0.5312335757105258,1.0,1.0,0.7046477544603552,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-06T21:00:00+01:00,0.0,0.5312335757105258,1.0,1.0,0.7046477544603552,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-06T23:00:00+01:00,0.0,0.5312335757105258,1.0,1.0,0.7046477544603552,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-07T01:00:00+01:00,0.0,0.5312335757105258,1.0,1.0,0.7046477544603552,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-07T03:00:00+01:00,0.0,0.5312335757105258,1.0,1.0,0.7046477544603552,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-07T05:00:00+01:00,0.0,0.5312335757105258,1.0,1.0,0.7046477544603552,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-07T07:00:00+01:00,0.0,1.0,1.0,1.0,0.7046477544603552,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-07T09:00:00+01:00,0.0,1.0,1.0,1.0,0.7046477544603552,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-07T11:00:00+01:00,0.0,1.0,1.0,1.0,0.7046477544603552,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-07T13:00:00+01:00,0.0,1.0,1.0,1.0,0.7046477544603552,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-07T15:00:00+01:00,0.0,1.0,1.0,1.0,0.7046477544603552,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-07T17:00:00+01:00,0.0,1.0,1.0,1.0,0.7046477544603552,0.0,0.05425007770787848,0.0,0.0,1.0,1.0
