Scenario,Period,LoadLevel,Almeria,Barcelona,Bilbao,Caceres,Cadiz,Cartagena,Lugo,Madrid,Sevilla,Valencia,Valladolid
sc2015,y2030,2030-12-10T13:00:00+01:00,0.08836902269234148,0.0586751218801278,-0.1656742499999999,0.21710803575148563,0.15416191069610097,0.051066686880952394,0.049737500626733766,0.03716201473859004,0.11964423756345521,0.0874396105784192,0.0
sc2015,y2030,2030-12-10T15:00:00+01:00,0.021119695272871164,0.074542071558243,-0.15173459424338742,0.17154518506074168,0.069220386124206,-0.0046669199056148525,0.08792068958176746,0.01774964589372008,0.05334852999903861,0.06176078783718397,0.0
sc2015,y2030,2030-12-10T17:00:00+01:00,-0.12674137064596946,0.02341249204062157,-0.1656742499999999,0.2006239978138018,-0.0071910556281187255,-0.15327091913226365,0.07602200541237703,-0.023459980608424136,0.0033140981054819996,-0.032315329079483535,0.0
sc2015,y2030,2030-12-10T19:00:00+01:00,-0.22649831039241297,0.0916547357996591,-0.1656742499999999,0.14126817045001738,-0.08732156406315794,-0.24872702422498993,0.04098840472882692,-0.05719517335738611,-0.06385232954998266,-0.07598433022335938,0.0
sc2015,y2030,2030-12-10T21:00:00+01:00,-0.23034190089528717,0.09334491286952784,-0.1656742499999999,0.13404467900258865,-0.09367222631900685,-0.25164726700487616,0.04282979382570562,-0.05911910787730479,-0.07107582099741139,-0.07635122397495553,0.0
sc2015,y2030,2030-12-10T23:00:00+01:00,-0.19029653732892005,0.00840518182214689,-0.1656742499999999,0.11193991752792876,-0.05749873629867008,-0.21347967681536062,0.050656727745628016,-0.056492572812699926,-0.057401632242664036,-0.07003117431463046,0.0
sc2015,y2030,2030-12-11T01:00:00+01:00,-0.0981761458043846,0.11529636416088995,-0.10889776015560804,0.11470837311283555,-0.0016784465727877063,-0.11242970037203559,0.09762536524766197,-0.00686806846068011,-0.009689908900960331,0.019892812406042903,0.0
sc2015,y2030,2030-12-11T03:00:00+01:00,-0.049591864028808885,0.19062398985833773,-0.07324095005609932,0.06271477854767471,0.026426486658379433,-0.058722802435698274,0.060798645213628655,0.012104563285112224,-0.0011126368898908279,0.06824179736153035,0.0
sc2015,y2030,2030-12-11T05:00:00+01:00,-0.053263780072994704,0.16982649846524867,-0.07846449215865015,0.04864886445691341,0.027141291367198228,-0.06398895301139662,0.060199140185323685,0.005541557748096393,-0.005146084086002922,0.05873959999826761,0.0
sc2015,y2030,2030-12-11T07:00:00+01:00,-0.09744533789445864,0.008071120513067243,-0.15042042216140739,0.18030881061516757,0.04874687940989508,-0.12728172104972946,0.11319184657864945,-0.015034659535119177,0.03571776125679249,-0.015984406318323874,0.0
sc2015,y2030,2030-12-11T09:00:00+01:00,-0.15223973611802943,0.06094945265234042,-0.1656742499999999,0.1944928834932873,-0.019364072412886735,-0.17820866490567666,0.05215549129891617,-0.028998590080924203,-0.010627616506712512,-0.034913268682473575,0.0
sc2015,y2030,2030-12-11T11:00:00+01:00,0.009784426214206388,0.07002950337343439,-0.1656742499999999,0.24112191739813094,0.08696515316089881,-0.021878217821649004,0.06117190654759108,0.022365566202418696,0.08001856916845007,0.05215299712682864,0.0
sc2015,y2030,2030-12-11T13:00:00+01:00,0.05807701109873009,0.05236965020601536,-0.1656742499999999,0.18619218964258977,0.10007096152262607,0.027225860900858434,0.0864680304712655,0.024305402645769192,0.07739247227988555,0.07200947630580079,0.0
sc2015,y2030,2030-12-11T15:00:00+01:00,0.03191721208394416,0.03533464218946514,-0.16214893976444356,0.18968996627805534,0.10373579065706684,-0.0007792496906129376,0.08686964420106236,0.0180155988098758,0.07944126595233603,0.052994595834823244,0.0
sc2015,y2030,2030-12-11T17:00:00+01:00,-0.1434908590305124,0.023186450151390314,-0.1656742499999999,0.1527217481474874,-0.025826543254821033,-0.16881708952781982,0.04402559322044253,-0.03669635793399051,-0.023181272475183645,-0.043981129535171304,0.0
sc2015,y2030,2030-12-11T19:00:00+01:00,-0.27154484014708435,0.08036314202404671,-0.1656742499999999,0.06696215290427143,-0.15586138727469567,-0.28614480839491074,0.041999401717824236,-0.08334489267186451,-0.1381583470957286,-0.10056601389663311,0.0
sc2015,y2030,2030-12-11T21:00:00+01:00,-0.24247076992931427,0.07262924063230303,-0.1656742499999999,0.10152087783590291,-0.11743658668771406,-0.2605685481930309,0.045334923482842404,-0.06938851968046111,-0.10359962216409713,-0.08509766830384091,0.0
sc2015,y2030,2030-12-11T23:00:00+01:00,-0.1294684474443879,0.001088981576834236,-0.1656742499999999,0.23402873198797036,0.024875134585987446,-0.1603147948677872,0.10885046193305148,-0.01842726801202943,0.03213742333219449,-0.035862629123875944,0.0
sc2015,y2030,2030-12-12T01:00:00+01:00,-0.1916018842110505,0.0647109117417286,-0.12488595385833667,-0.040549475005871694,-0.11954872994891974,-0.19725732374389748,0.10003776584113488,-0.06707153462823046,-0.1325388645303367,-0.04442378413920611,0.0
sc2015,y2030,2030-12-12T03:00:00+01:00,-0.04488874108139673,0.07469527240243279,-0.10502862534052504,0.05991591034864574,0.06287165277630047,-0.06505040173417731,0.1063071337472643,-0.004026593615001461,0.01903787137117674,0.03673392101744488,0.0
sc2015,y2030,2030-12-12T05:00:00+01:00,-0.08268093858493852,0.10931731924357768,-0.09071290231551798,0.0284276899708924,-0.013503194080880077,-0.0902113881471518,0.12150322724055762,-0.011803231001678016,-0.03616904174044522,0.03376546819842163,0.0
sc2015,y2030,2030-12-12T07:00:00+01:00,-0.04376344872855942,0.06495325334051683,-0.11027257111586519,0.08115284701806047,0.07386694544261241,-0.06697942470093987,0.1024136194723062,-0.00334449583554286,0.03113853820790702,0.03104448306064178,0.0
sc2015,y2030,2030-12-12T09:00:00+01:00,-0.0994325751211278,0.10729580680591,-0.11724219277924397,0.10663070402727137,-0.018807954406200977,-0.11221984044245259,0.11626328989036261,-0.011721185252867361,-0.023238696813791204,0.018878665314625565,0.0
sc2015,y2030,2030-12-12T11:00:00+01:00,0.03203396488792065,-0.001259682508596871,-0.1656742499999999,0.16434834589866254,0.11798980328407893,-0.0033836792637567115,0.1081289356441899,0.009025780189872545,0.08108873328320221,0.043829645637077475,0.0
sc2015,y2030,2030-12-12T13:00:00+01:00,0.022961399581233,0.047186753348628985,-0.14988230591274454,0.04257825171175167,0.03813225599726766,0.001363344572507641,0.08723654378587065,-0.007567197723826524,-0.00027458523256496115,0.05190686364790453,0.0
sc2015,y2030,2030-12-12T15:00:00+01:00,0.04621257607063245,0.014839560874617685,-0.15234386475395456,0.1501100483689699,0.11763328229446834,0.013307641961798344,0.10059975457387083,0.014433452994839113,0.08031075952686217,0.0527559617794473,0.0
sc2015,y2030,2030-12-12T17:00:00+01:00,-0.08150009517817369,0.08978798430737456,-0.12506332738830794,0.13744369620046681,0.016683419090330887,-0.10220198531626745,0.04292479847543307,-0.008058091781308896,0.007472226937783377,0.00961658751618355,0.0
sc2015,y2030,2030-12-12T19:00:00+01:00,-0.1737515787775905,0.006755790601834288,-0.1656742499999999,0.18710189307242242,-0.030664854310748835,-0.20052459032645942,0.05025382534033285,-0.04150491173452986,-0.018018606927577396,-0.06539356750474057,0.0
sc2015,y2030,2030-12-12T21:00:00+01:00,-0.17581961227350162,0.016935565433421784,-0.1656742499999999,0.18524731560026164,-0.03138760536977281,-0.20266972106658,0.04202466666365856,-0.04211890161055143,-0.019873184399738397,-0.06437650772085668,0.0
sc2015,y2030,2030-12-12T23:00:00+01:00,-0.10338524266738336,-0.032033870608765724,-0.1656742499999999,0.2360146180480298,0.0630691978329172,-0.13963380336744846,0.10193434449915317,-0.016441381951970202,0.05897555238321961,-0.03771906397678815,0.0
sc2015,y2030,2030-12-13T01:00:00+01:00,-0.04949975379402449,0.03146211039315849,-0.12488423626359602,0.14016950155735053,0.08755507004922736,-0.07869638019102854,0.09214078099190193,-0.00264189742762877,0.05481935115899317,0.012255453281784678,0.0
sc2015,y2030,2030-12-13T03:00:00+01:00,-0.04100646798168217,0.1810628232208722,-0.06673520986201797,0.05468637921535158,0.027889157958299382,-0.048921222007194176,0.05727815892113863,0.013138557812249152,0.0002499973485416973,0.07005404077312316,0.0
sc2015,y2030,2030-12-13T05:00:00+01:00,-0.07724819077665668,0.17163143960204996,-0.06413220399072772,0.02604233873758366,-0.03849234712108185,-0.07553133838149062,0.08246106966994549,0.00101809419947263,-0.04826445966092208,0.05822811700665009,0.0
sc2015,y2030,2030-12-13T07:00:00+01:00,-0.04304053874362035,0.07861524855110047,-0.09468852264112404,0.05833066863418579,0.04717892205168317,-0.05841520580783044,0.0909722794241199,-0.0003175026897559441,0.01199921461221809,0.04310658443116977,0.0
sc2015,y2030,2030-12-13T09:00:00+01:00,-0.06394110087969818,0.13570046852360385,-0.08824290497121878,0.03516717446931139,0.0004537639882939981,-0.07217363438677804,0.06459581761981559,-0.004531480202450755,-0.025462393453852927,0.048892340009611956,0.0
sc2015,y2030,2030-12-13T11:00:00+01:00,0.016098891982593733,0.08568449675411371,-0.12224498935817918,0.05799326297200702,0.05692481306637598,-0.00220261984764325,0.06153951150824,0.0058897295446103115,0.01738326706525184,0.0703405847002927,0.0
sc2015,y2030,2030-12-13T13:00:00+01:00,0.0888179854523583,0.13338867997838721,-0.11170430559750621,0.07677937240146027,0.07428300640519048,0.07618374497549851,0.053654859979402,0.03646189782394815,0.03987661042338586,0.13177931390724562,0.0
sc2015,y2030,2030-12-13T15:00:00+01:00,0.026722224473812783,0.06003709758670572,-0.13089087319625903,0.054984899473073945,0.04803219083150734,0.011065526714044038,0.11614759065621305,0.006539998970716887,0.01206044654824212,0.08083794207697603,0.0
sc2015,y2030,2030-12-13T17:00:00+01:00,-0.08254678435164142,0.022996281609150016,-0.13542378465090188,0.02384280756759205,0.007698484165889363,-0.10042896064217888,0.12128408545663927,-0.031742446767103694,-0.030554867762991655,0.010552219888281478,0.0
sc2015,y2030,2030-12-13T19:00:00+01:00,-0.12542002944469566,0.033651188838641266,-0.15089867844252214,0.14715798821954462,-0.0034010690141041966,-0.1459196529530873,0.12343739043798174,-0.024436066126705347,-0.008784689092876663,-0.005428282332551104,0.0
sc2015,y2030,2030-12-13T21:00:00+01:00,-0.12097186503799895,0.015666294447147067,-0.1656742499999999,0.18321630507668818,0.021481860773259642,-0.14719160304825718,0.1161296294920604,-0.022478756156776525,0.014093575003641057,-0.007947693849132076,0.0
sc2015,y2030,2030-12-13T23:00:00+01:00,-0.10975630093313438,0.02558306482106465,-0.15155398151108135,0.09749442520974161,0.012802358441436956,-0.13065828334758178,0.14517552432121428,-0.02857329508499218,-0.012867342729842912,0.007077875940203926,0.0
